season,week,celebrity_name,judge_score,judge_percentage,prior_votes,prior_percentage,estimated_votes,vote_percentage,combined_score,min_votes,max_votes,margin_to_elim,prior_consistency,confidence,confidence_level,is_eliminated,consistency_check
2,6,George Hamilton,23.0,17.29,1577328,15.77,531930,5.32,22.61,0,600000,0.0,33.7,80.5,High,True,True
2,6,Lisa Rinna,27.0,20.3,2055927,20.56,2311103,23.11,43.41,299248,10000000,20.8,87.6,53.0,Medium,False,True
2,6,Stacy Keibler,30.0,22.56,1946686,19.47,2188304,21.88,44.44,73684,10000000,21.83,87.6,53.5,Medium,False,True
2,6,Jerry Rice,23.0,17.29,2032687,20.33,2284978,22.85,40.14,600000,10000000,17.53,87.6,50.8,Medium,False,True
2,6,Drew Lachey,30.0,22.56,2387369,23.87,2683683,26.84,49.39,73684,10000000,26.78,87.6,54.7,Medium,False,True
2,7,Lisa Rinna,26.5,25.98,2495699,24.96,907196,9.07,35.05,0,161764,0.0,36.4,80.7,High,True,True
2,7,Stacy Keibler,27.5,26.96,2363091,23.63,2863308,28.63,55.59,651960,10000000,20.54,78.8,52.5,Medium,False,True
2,7,Jerry Rice,20.5,20.1,2243170,22.43,2718002,27.18,47.28,1338235,10000000,12.23,78.8,46.9,Medium,False,True
2,7,Drew Lachey,27.5,26.96,2898038,28.98,3511492,35.11,62.08,651960,10000000,27.02,78.8,54.6,Medium,False,True
3,1,Harry Hamlin,17.0,8.02,840173,8.4,894661,8.95,16.97,36878,10000000,8.53,93.5,35.8,Medium,False,True
3,1,Vivica A. Fox,22.0,10.38,894553,8.95,952567,9.53,19.9,0,10000000,11.46,93.5,38.0,Medium,False,True
3,1,Monique Coleman,19.0,8.96,851238,8.51,906443,9.06,18.03,0,10000000,9.59,93.5,36.6,Medium,False,True
3,1,Joey Lawrence,21.0,9.91,923487,9.23,983377,9.83,19.74,0,10000000,11.3,93.5,37.9,Medium,False,True
3,1,Mario Lopez,26.0,12.26,979038,9.79,1042532,10.43,22.69,0,10000000,14.25,93.5,40.1,Medium,False,True
3,1,Emmitt Smith,24.0,11.32,1041213,10.41,1108738,11.09,22.41,0,10000000,13.97,93.5,39.9,Medium,False,True
3,1,Shanna Moakler,18.0,8.49,773656,7.74,823829,8.24,16.73,0,10000000,8.29,93.5,35.6,Medium,False,True
3,1,Willa Ford,22.0,10.38,1004211,10.04,1069336,10.69,21.07,0,10000000,12.63,93.5,38.9,Medium,False,True
3,1,Sara Evans,15.0,7.08,1067314,10.67,1136532,11.37,18.44,131217,10000000,10.0,93.5,37.0,Medium,False,True
3,1,Jerry Springer,16.0,7.55,755071,7.55,804040,8.04,15.59,84048,10000000,7.15,93.5,34.8,Low,False,True
3,1,Tucker Carlson,12.0,5.66,870041,8.7,277939,2.78,8.44,0,414236,0.0,31.9,58.0,High,True,True
3,2,Harry Hamlin,21.0,9.13,939130,9.39,999642,10.0,19.13,343478,10000000,6.8,93.6,36.0,Medium,False,True
3,2,Vivica A. Fox,24.0,10.43,999914,10.0,1064343,10.64,21.08,213043,10000000,8.75,93.6,37.3,Medium,False,True
3,2,Monique Coleman,26.0,11.3,951497,9.51,1012807,10.13,21.43,126086,10000000,9.11,93.6,37.5,Medium,False,True
3,2,Joey Lawrence,29.0,12.61,1032256,10.32,1098769,10.99,23.6,0,10000000,11.27,93.6,39.0,Medium,False,True
3,2,Mario Lopez,21.0,9.13,994864,9.95,1058968,10.59,19.72,343478,10000000,7.39,93.6,36.4,Medium,False,True
3,2,Emmitt Smith,24.0,10.43,1058043,10.58,1126219,11.26,21.7,213043,10000000,9.37,93.6,37.8,Medium,False,True
3,2,Shanna Moakler,22.0,9.57,864778,8.65,276150,2.76,12.33,0,169565,0.0,31.9,57.9,High,True,True
3,2,Willa Ford,23.0,10.0,1122487,11.22,1194815,11.95,21.95,256521,10000000,9.62,93.6,38.0,Medium,False,True
3,2,Sara Evans,21.0,9.13,1193023,11.93,1269896,12.7,21.83,343478,10000000,9.5,93.6,38.0,Medium,False,True
3,2,Jerry Springer,19.0,8.26,844004,8.44,898388,8.98,17.24,430434,10000000,4.92,93.6,34.7,Low,False,True
3,3,Harry Hamlin,22.0,10.63,1063142,10.63,344586,3.45,14.07,0,188405,0.0,32.4,61.8,High,True,True
3,3,Vivica A. Fox,27.0,13.04,1131953,11.32,1222966,12.23,25.27,91787,10000000,11.2,92.0,40.3,Medium,False,True
3,3,Monique Coleman,27.0,13.04,1077142,10.77,1163748,11.64,24.68,91787,10000000,10.61,92.0,39.8,Medium,False,True
3,3,Joey Lawrence,22.0,10.63,1062332,10.62,1147747,11.48,22.11,333333,10000000,8.03,92.0,38.1,Medium,False,True
3,3,Mario Lopez,22.0,10.63,1126236,11.26,1216789,12.17,22.8,333333,10000000,8.72,92.0,38.6,Medium,False,True
3,3,Emmitt Smith,19.0,9.18,1077982,10.78,1164656,11.65,20.83,478260,10000000,6.75,92.0,37.3,Medium,False,True
3,3,Willa Ford,22.0,10.63,1155192,11.55,1248074,12.48,23.11,333333,10000000,9.03,92.0,38.9,Medium,False,True
3,3,Sara Evans,25.0,12.08,1350562,13.51,1459152,14.59,26.67,188405,10000000,12.59,92.0,41.4,Medium,False,True
3,3,Jerry Springer,21.0,10.14,955455,9.55,1032277,10.32,20.47,381642,10000000,6.39,92.0,36.9,Medium,False,True
3,4,Vivica A. Fox,24.0,12.12,1120091,11.2,364615,3.65,15.77,0,172979,0.0,32.6,64.2,High,True,True
3,4,Monique Coleman,24.0,12.12,1065855,10.66,1156535,11.57,23.69,375000,10000000,7.92,91.5,39.5,Medium,False,True
3,4,Joey Lawrence,27.0,13.64,1271952,12.72,1380166,13.8,27.44,223484,10000000,11.67,91.5,42.2,Medium,False,True
3,4,Mario Lopez,29.0,14.65,1348465,13.48,1463189,14.63,29.28,122474,10000000,13.51,91.5,43.5,Medium,False,True
3,4,Emmitt Smith,24.0,12.12,1434101,14.34,1556110,15.56,27.68,375000,10000000,11.91,91.5,42.5,Medium,False,True
3,4,Willa Ford,28.0,14.14,1383136,13.83,1500809,15.01,29.15,172979,10000000,13.38,91.5,43.5,Medium,False,True
3,4,Sara Evans,20.0,10.1,1336409,13.36,1450107,14.5,24.6,577020,10000000,8.83,91.5,40.4,Medium,False,True
3,4,Jerry Springer,22.0,11.11,1039987,10.4,1128466,11.28,22.4,476010,10000000,6.63,91.5,38.7,Medium,False,True
3,5,Monique Coleman,27.0,14.92,1285552,12.86,1438235,14.38,29.3,428571,10000000,9.29,88.1,41.4,Medium,False,True
3,5,Joey Lawrence,25.0,13.81,1394663,13.95,1560306,15.6,29.42,539068,10000000,9.41,88.1,41.6,Medium,False,True
3,5,Mario Lopez,27.0,14.92,1478558,14.79,1654165,16.54,31.46,428571,10000000,11.45,88.1,43.0,Medium,False,True
3,5,Emmitt Smith,27.0,14.92,1572456,15.72,1759214,17.59,32.51,428571,10000000,12.5,88.1,43.8,Medium,False,True
3,5,Willa Ford,27.0,14.92,1516574,15.17,509008,5.09,20.01,0,262825,0.0,33.6,64.8,High,True,True
3,5,Sara Evans,24.0,13.26,1611874,16.12,1803314,18.03,31.29,594317,10000000,11.29,88.1,43.0,Medium,False,True
3,5,Jerry Springer,24.0,13.26,1140320,11.4,1275755,12.76,26.02,594317,10000000,6.01,88.1,39.1,Medium,False,True
3,7,Monique Coleman,27.0,20.0,1870832,18.71,2116718,21.17,41.17,303703,10000000,18.5,86.9,51.1,Medium,False,True
3,7,Joey Lawrence,28.5,21.11,2029619,20.3,2296375,22.96,44.07,192592,10000000,21.41,86.9,53.1,Medium,False,True
3,7,Mario Lopez,28.0,20.74,2151710,21.52,2434512,24.35,45.09,229629,10000000,22.42,86.9,53.9,Medium,False,True
3,7,Emmitt Smith,28.5,21.11,2288356,22.88,2589117,25.89,47.0,192592,10000000,24.33,86.9,54.6,Medium,False,True
3,7,Jerry Springer,23.0,17.04,1659480,16.59,563276,5.63,22.67,0,896296,0.0,33.9,78.6,High,True,True
3,8,Monique Coleman,26.5,24.31,2243064,22.43,798257,7.98,32.29,0,795871,0.0,35.6,81.6,High,True,True
3,8,Joey Lawrence,27.0,24.77,2433445,24.33,2886699,28.87,53.64,704128,10000000,21.34,81.4,53.8,Medium,False,True
3,8,Mario Lopez,28.5,26.15,2579827,25.8,3060346,30.6,56.75,566513,10000000,24.46,81.4,55.2,High,False,True
3,8,Emmitt Smith,27.0,24.77,2743661,27.44,3254696,32.55,57.32,704128,10000000,25.02,81.4,55.3,High,False,True
4,2,John Ratzenberger,21.0,8.57,779909,7.8,833772,8.34,16.91,272727,10000000,5.38,93.1,33.6,Low,False,True
4,2,Ian Ziering,22.0,8.98,1023259,10.23,1093930,10.94,19.92,231910,10000000,8.39,93.1,35.8,Medium,False,True
4,2,Clyde Drexler,18.0,7.35,858313,8.58,917592,9.18,16.52,395176,10000000,4.99,93.1,33.4,Low,False,True
4,2,Laila Ali,27.0,11.02,948976,9.49,1014516,10.15,21.17,27829,10000000,9.63,93.1,36.5,Medium,False,True
4,2,Apolo Anton Ohno,26.0,10.61,1059878,10.6,1133078,11.33,21.94,68645,10000000,10.41,93.1,37.1,Medium,False,True
4,2,Shandi Finnessey,20.0,8.16,705791,7.06,754536,7.55,15.71,313543,10000000,4.18,93.1,32.7,Low,False,True
4,2,Paulina Porizkova,21.0,8.57,922891,9.23,295989,2.96,11.53,0,150278,0.0,32.1,55.6,High,True,True
4,2,Heather Mills,24.0,9.8,846978,8.47,905474,9.05,18.85,150278,10000000,7.32,93.1,34.9,Low,False,True
4,2,Billy Ray Cyrus,21.0,8.57,1035191,10.35,1106685,11.07,19.64,272727,10000000,8.11,93.1,35.6,Medium,False,True
4,2,Joey Fatone,24.0,9.8,1005810,10.06,1075276,10.75,20.55,150278,10000000,9.02,93.1,36.2,Medium,False,True
4,2,Leeza Gibbons,21.0,8.57,812997,8.13,869146,8.69,17.26,272727,10000000,5.73,93.1,33.8,Low,False,True
4,3,John Ratzenberger,20.0,9.17,884606,8.85,937120,9.37,18.55,345871,10000000,6.37,94.1,35.8,Medium,False,True
4,3,Ian Ziering,24.0,11.01,1160624,11.61,1229524,12.3,23.3,162385,10000000,11.13,94.1,39.2,Medium,False,True
4,3,Clyde Drexler,16.0,7.34,885032,8.85,937571,9.38,16.72,529357,10000000,4.54,94.1,34.6,Low,False,True
4,3,Laila Ali,21.0,9.63,978517,9.79,1036606,10.37,20.0,300000,10000000,7.82,94.1,36.9,Medium,False,True
4,3,Apolo Anton Ohno,23.0,10.55,1092872,10.93,1157749,11.58,22.13,208256,10000000,9.95,94.1,38.4,Medium,False,True
4,3,Shandi Finnessey,21.0,9.63,800539,8.01,254418,2.54,12.18,0,70642,0.0,31.8,58.0,High,True,True
4,3,Heather Mills,24.0,11.01,960679,9.61,1017709,10.18,21.19,162385,10000000,9.01,94.1,37.6,Medium,False,True
4,3,Billy Ray Cyrus,21.0,9.63,1174158,11.74,1243861,12.44,22.07,300000,10000000,9.89,94.1,38.4,Medium,False,True
4,3,Joey Fatone,24.0,11.01,1140833,11.41,1208558,12.09,23.09,162385,10000000,10.92,94.1,39.1,Medium,False,True
4,3,Leeza Gibbons,24.0,11.01,922136,9.22,976878,9.77,20.78,162385,10000000,8.6,94.1,37.3,Medium,False,True
4,4,John Ratzenberger,16.0,8.42,868585,8.69,927362,9.27,17.69,333333,10000000,6.37,93.2,37.2,Medium,False,True
4,4,Ian Ziering,24.0,12.63,1253566,12.54,1338394,13.38,26.02,0,10000000,14.69,93.2,43.1,Medium,False,True
4,4,Clyde Drexler,15.0,7.89,955904,9.56,1020590,10.21,18.1,385964,10000000,6.78,93.2,37.5,Medium,False,True
4,4,Laila Ali,21.0,11.05,1056876,10.57,1128394,11.28,22.34,70175,10000000,11.02,93.2,40.4,Medium,False,True
4,4,Apolo Anton Ohno,26.0,13.68,1298427,12.98,1386291,13.86,27.55,0,10000000,16.23,93.2,44.3,Medium,False,True
4,4,Heather Mills,23.0,12.11,1037609,10.38,1107824,11.08,23.18,0,10000000,11.86,93.2,41.0,Medium,False,True
4,4,Billy Ray Cyrus,21.0,11.05,1268183,12.68,1354000,13.54,24.59,70175,10000000,13.27,93.2,42.1,Medium,False,True
4,4,Joey Fatone,28.0,14.74,1355409,13.55,1447129,14.47,29.21,0,10000000,17.89,93.2,45.5,Medium,False,True
4,4,Leeza Gibbons,16.0,8.42,905436,9.05,290012,2.9,11.32,0,280701,0.0,32.0,61.1,High,True,True
4,5,John Ratzenberger,18.0,10.23,979525,9.8,1059473,10.59,20.82,90909,10000000,9.94,91.8,40.9,Medium,False,True
4,5,Ian Ziering,24.0,13.64,1413677,14.14,1529060,15.29,28.93,0,10000000,18.04,91.8,46.9,Medium,False,True
4,5,Clyde Drexler,13.0,7.39,1077997,10.78,349794,3.5,10.88,0,602272,0.0,32.4,65.9,High,True,True
4,5,Laila Ali,28.0,15.91,1311051,13.11,1418058,14.18,30.09,0,10000000,19.21,91.8,47.8,Medium,False,True
4,5,Apolo Anton Ohno,30.0,17.05,1464267,14.64,1583779,15.84,32.88,0,10000000,22.0,91.8,49.9,Medium,False,True
4,5,Heather Mills,21.0,11.93,1063761,10.64,1150584,11.51,23.44,0,10000000,12.55,91.8,42.8,Medium,False,True
4,5,Billy Ray Cyrus,17.0,9.66,1300146,13.0,1406263,14.06,23.72,147727,10000000,12.84,91.8,43.1,Medium,False,True
4,5,Joey Fatone,25.0,14.2,1389571,13.9,1502986,15.03,29.23,0,10000000,18.35,91.8,47.1,Medium,False,True
4,6,John Ratzenberger,19.0,11.18,1146826,11.47,1256357,12.56,23.74,663865,10000000,6.12,90.4,39.8,Medium,False,True
4,6,Ian Ziering,24.0,14.12,1504664,15.05,1648371,16.48,30.6,369747,10000000,12.98,90.4,44.7,Medium,False,True
4,6,Laila Ali,28.0,16.47,1395433,13.95,1528708,15.29,31.76,134453,10000000,14.14,90.4,45.3,Medium,False,True
4,6,Apolo Anton Ohno,28.0,16.47,1558510,15.59,1707360,17.07,33.54,134453,10000000,15.92,90.4,46.7,Medium,False,True
4,6,Heather Mills,23.0,13.53,1245449,12.45,409320,4.09,17.62,0,193277,0.0,32.9,65.2,High,True,True
4,6,Billy Ray Cyrus,21.0,12.35,1522208,15.22,1667592,16.68,29.03,546218,10000000,11.41,90.4,43.7,Medium,False,True
4,6,Joey Fatone,27.0,15.88,1626906,16.27,1782289,17.82,33.71,193277,10000000,16.08,90.4,46.8,Medium,False,True
4,7,John Ratzenberger,22.5,14.56,1331016,13.31,440331,4.4,18.97,0,273462,0.0,33.1,73.6,High,True,True
4,7,Ian Ziering,27.0,17.48,1746326,17.46,1925751,19.26,36.73,208737,10000000,17.77,89.7,49.5,Medium,False,True
4,7,Laila Ali,29.5,19.09,1619552,16.2,1785951,17.86,36.95,46925,10000000,17.99,89.7,49.6,Medium,False,True
4,7,Apolo Anton Ohno,27.0,17.48,1808821,18.09,1994666,19.95,37.42,208737,10000000,18.46,89.7,50.1,Medium,False,True
4,7,Billy Ray Cyrus,19.0,12.3,1606081,16.06,1771096,17.71,30.01,726537,10000000,11.04,89.7,45.0,Medium,False,True
4,7,Joey Fatone,29.5,19.09,1888202,18.88,2082203,20.82,39.92,46925,10000000,20.95,89.7,51.8,Medium,False,True
4,8,Ian Ziering,23.5,18.73,1865484,18.65,2149439,21.49,40.22,241434,10000000,18.56,84.8,50.5,Medium,False,True
4,8,Laila Ali,26.5,21.12,1903065,19.03,2192741,21.93,43.04,2390,10000000,21.38,84.8,52.4,Medium,False,True
4,8,Apolo Anton Ohno,29.0,23.11,2125467,21.25,2448996,24.49,47.6,0,10000000,25.93,84.8,53.9,Medium,False,True
4,8,Billy Ray Cyrus,19.0,15.14,1887236,18.87,652350,6.52,21.66,0,958565,0.0,34.6,78.3,High,True,True
4,8,Joey Fatone,27.5,21.91,2218745,22.19,2556471,25.56,47.48,0,10000000,25.81,84.8,53.9,Medium,False,True
4,9,Ian Ziering,29.0,24.47,2472534,24.73,897012,8.97,33.44,0,792194,0.0,36.3,81.8,High,True,True
4,9,Laila Ali,30.0,25.32,2293040,22.93,2772980,27.73,53.05,665611,10000000,19.6,79.1,51.9,Medium,False,True
4,9,Apolo Anton Ohno,29.5,24.89,2561016,25.61,3097045,30.97,55.86,707805,10000000,22.42,79.1,54.0,Medium,False,True
4,9,Joey Fatone,30.0,25.32,2673408,26.73,3232960,32.33,57.65,665611,10000000,24.2,79.1,54.7,Medium,False,True
5,1,Cameron Mathison,21.0,8.17,865147,8.65,914638,9.15,17.32,55447,10000000,8.64,94.3,36.1,Medium,False,True
5,1,Jane Seymour,24.0,9.34,715984,7.16,756942,7.57,16.91,0,10000000,8.23,94.3,35.7,Medium,False,True
5,1,Sabrina Bryan,26.0,10.12,865384,8.65,914888,9.15,19.27,0,10000000,10.59,94.3,37.5,Medium,False,True
5,1,Jennie Garth,21.0,8.17,1084408,10.84,1146441,11.46,19.64,55447,10000000,10.96,94.3,37.8,Medium,False,True
5,1,Floyd Mayweather Jr. ,18.0,7.0,821004,8.21,867969,8.68,15.68,172178,10000000,7.01,94.3,35.0,Low,False,True
5,1,Josie Maran,16.0,6.23,772988,7.73,245162,2.45,8.68,0,327821,0.0,31.7,57.4,High,True,True
5,1,Albert Reed,21.0,8.17,649249,6.49,686389,6.86,15.04,55447,10000000,6.36,94.3,34.4,Low,False,True
5,1,Helio Castroneves,25.0,9.73,913791,9.14,966064,9.66,19.39,0,10000000,10.71,94.3,37.6,Medium,False,True
5,1,Mel B,24.0,9.34,954054,9.54,1008630,10.09,19.42,0,10000000,10.75,94.3,37.6,Medium,False,True
5,1,Wayne Newton,19.0,7.39,734946,7.35,776988,7.77,15.16,133268,10000000,6.49,94.3,34.6,Low,False,True
5,1,Marie Osmond,21.0,8.17,843358,8.43,891602,8.92,17.09,55447,10000000,8.41,94.3,35.9,Medium,False,True
5,1,Mark Cuban,21.0,8.17,779681,7.8,824282,8.24,16.41,55447,10000000,7.74,94.3,35.4,Medium,False,True
5,2,Cameron Mathison,21.0,8.82,919261,9.19,965905,9.66,18.48,272727,10000000,7.48,94.9,35.6,Medium,False,True
5,2,Jane Seymour,21.0,8.82,760768,7.61,799370,7.99,16.82,272727,10000000,5.82,94.9,34.3,Low,False,True
5,2,Sabrina Bryan,26.0,10.92,919513,9.2,966170,9.66,20.59,62643,10000000,9.59,94.9,37.0,Medium,False,True
5,2,Jennie Garth,21.0,8.82,1152236,11.52,1210701,12.11,20.93,272727,10000000,9.93,94.9,37.4,Medium,False,True
5,2,Floyd Mayweather Jr. ,21.0,8.82,959592,9.6,1008283,10.08,18.91,272727,10000000,7.91,94.9,35.9,Medium,False,True
5,2,Albert Reed,21.0,8.82,689859,6.9,217458,2.17,11.0,0,20626,0.0,31.5,54.2,Medium,True,True
5,2,Helio Castroneves,27.0,11.34,1068042,10.68,1122235,11.22,22.57,20626,10000000,11.57,94.9,38.4,Medium,False,True
5,2,Mel B,23.0,9.66,1013729,10.14,1065166,10.65,20.32,188693,10000000,9.32,94.9,36.9,Medium,False,True
5,2,Wayne Newton,15.0,6.3,702824,7.03,738486,7.38,13.69,524828,10000000,2.69,94.9,32.2,Low,False,True
5,2,Marie Osmond,24.0,10.08,985720,9.86,1035736,10.36,20.44,146676,10000000,9.44,94.9,36.9,Medium,False,True
5,2,Mark Cuban,18.0,7.56,828449,8.28,870485,8.7,16.27,398777,10000000,5.27,94.9,34.0,Low,False,True
5,3,Cameron Mathison,23.0,9.62,1018457,10.18,1084114,10.84,20.46,90794,10000000,10.17,93.6,38.3,Medium,False,True
5,3,Jane Seymour,27.0,11.3,842861,8.43,897198,8.97,20.27,0,10000000,9.97,93.6,38.1,Medium,False,True
5,3,Sabrina Bryan,27.0,11.3,1018736,10.19,1084411,10.84,22.14,0,10000000,11.85,93.6,39.5,Medium,False,True
5,3,Jennie Garth,26.0,10.88,1276572,12.77,1358869,13.59,24.47,0,10000000,14.17,93.6,41.2,Medium,False,True
5,3,Floyd Mayweather Jr. ,21.0,8.79,966491,9.66,1028798,10.29,19.07,174476,10000000,8.78,93.6,37.3,Medium,False,True
5,3,Helio Castroneves,24.0,10.04,977927,9.78,1040972,10.41,20.45,48953,10000000,10.16,93.6,38.3,Medium,False,True
5,3,Mel B,27.0,11.3,1123118,11.23,1195522,11.96,23.25,0,10000000,12.96,93.6,40.3,Medium,False,True
