name,D_pct,D_rank,judge_favored,fan_favored,season,week
Monique Coleman,-0.001021712877178671,1,False,True,3,1
Joey Lawrence,0.0007188447709295109,0,True,False,3,1
Mario Lopez,0.01838824688200473,3,True,False,3,1
Emmitt Smith,0.002333680645491415,0,True,False,3,1
Shanna Moakler,0.0025227109475888243,2,True,False,3,1
Willa Ford,-0.003160079254538109,-1,False,True,3,1
Sara Evans,-0.04289855121082885,-9,False,True,3,1
Jerry Springer,-0.0049323501292213995,1,False,True,3,1
Tucker Carlson,0.028809856908555656,0,True,False,3,1
Harry Hamlin,-0.008659882163182045,1,False,True,3,2
Vivica A. Fox,-0.0020865058433430644,2,False,True,3,2
Monique Coleman,0.01176274787665045,5,True,False,3,2
Joey Lawrence,0.016210023558659234,3,True,False,3,2
Mario Lopez,-0.014592483942962572,-2,False,True,3,2
Emmitt Smith,-0.008274107699623626,-1,False,True,3,2
Shanna Moakler,0.068037165628541,4,True,False,3,2
Willa Ford,-0.019481535844460746,-3,False,True,3,2
Sara Evans,-0.03568529027080447,-8,False,True,3,2
Jerry Springer,-0.007230131299474182,-1,False,True,3,2
Harry Hamlin,0.07182157600740635,5,True,False,3,3
Vivica A. Fox,0.008138121460365078,2,True,False,3,3
Monique Coleman,0.01405992442126655,4,True,False,3,3
Joey Lawrence,-0.008494564150663714,2,False,True,3,3
Mario Lopez,-0.015398767602765442,-2,False,True,3,3
Emmitt Smith,-0.02467821861930254,-4,False,True,3,3
Willa Ford,-0.01852726916701622,-5,False,True,3,3
Sara Evans,-0.025142326097733106,-2,False,True,3,3
Jerry Springer,-0.0017784762515569569,0,False,True,3,3
Vivica A. Fox,0.08475061027366793,4,True,False,3,4
Monique Coleman,0.0055585865160608094,1,True,False,3,4
Joey Lawrence,-0.0016530050413560704,2,False,True,3,4
Mario Lopez,0.0001457025689632907,2,True,False,3,4
Emmitt Smith,-0.034398925471192776,-5,False,True,3,4
Willa Ford,-0.008666803610142104,0,False,True,3,4
Sara Evans,-0.044000642493122036,-4,False,True,3,4
Jerry Springer,-0.0017355227428790532,0,False,True,3,4
Monique Coleman,0.005347727571169109,4,True,False,3,5
Joey Lawrence,-0.017909099847868065,-1,False,True,3,5
Mario Lopez,-0.01624527890673283,1,False,True,3,5
Emmitt Smith,-0.026750182058203786,-1,False,True,3,5
Willa Ford,0.09827045544798747,3,True,False,3,5
Sara Evans,-0.047734769016563317,-5,False,True,3,5
Jerry Springer,0.00502114681021143,-1,True,False,3,5
Monique Coleman,-0.011671842334368465,0,False,True,3,7
Joey Lawrence,-0.01852643481639807,2,False,True,3,7
Mario Lopez,-0.036043841282842326,-1,False,True,3,7
Emmitt Smith,-0.047800640671239264,-1,False,True,3,7
Jerry Springer,0.11404275910484812,0,True,False,3,7
Monique Coleman,0.1632935500899027,0,True,False,3,8
Joey Lawrence,-0.04096353571564293,1,False,True,3,8
Mario Lopez,-0.04456677129867537,1,False,True,3,8
Emmitt Smith,-0.07776324307558435,-2,False,True,3,8
John Ratzenberger,0.0023370356879356957,3,True,False,4,2
Ian Ziering,-0.019597147268492446,-2,False,True,4,2
Clyde Drexler,-0.018289867300450985,-5,False,True,4,2
Laila Ali,0.00875242076165654,4,True,False,4,2
Apolo Anton Ohno,-0.007185419005128965,-1,False,True,4,2
Shandi Finnessey,0.006179007789037322,0,True,False,4,2
Paulina Porizkova,0.05611536795493506,4,True,False,4,2
Heather Mills,0.007411729344996787,4,True,False,4,2
Billy Ray Cyrus,-0.024954280686854124,-6,False,True,4,2
Joey Fatone,-0.00956848084312932,0,False,True,4,2
Leeza Gibbons,-0.0012003664345055787,-1,False,True,4,2
John Ratzenberger,-0.0019689369611786828,0,False,True,4,3
Ian Ziering,-0.012860730652218197,1,False,True,4,3
Clyde Drexler,-0.020362660841449706,-2,False,True,4,3
Laila Ali,-0.007330386967039512,-1,False,True,4,3
Apolo Anton Ohno,-0.010270382309018375,-1,False,True,4,3
Shandi Finnessey,0.07088845996426865,3,True,False,4,3
Heather Mills,0.00832078205668943,4,True,False,4,3
Billy Ray Cyrus,-0.02805589940234697,-7,False,True,4,3
Joey Fatone,-0.010764129394257443,0,False,True,4,3
Leeza Gibbons,0.012403884506550888,3,True,False,4,3
John Ratzenberger,-0.00852571077870537,1,False,True,4,4
Ian Ziering,-0.007523664062097202,1,False,True,4,4
Clyde Drexler,-0.023111672402563704,-2,False,True,4,4
Laila Ali,-0.002313129346304371,0,False,True,4,4
Apolo Anton Ohno,-0.00178705018850428,0,False,True,4,4
Heather Mills,0.01027018726596965,2,True,False,4,4
Billy Ray Cyrus,-0.024873738370547974,-3,False,True,4,4
Joey Fatone,0.002655463167448413,0,True,False,4,4
Leeza Gibbons,0.05520931471530483,1,True,False,4,4
John Ratzenberger,-0.0036746045114722514,1,False,True,4,5
Ian Ziering,-0.016542409508177397,-2,False,True,4,5
Clyde Drexler,0.038884225869813216,0,True,False,4,5
Laila Ali,0.01728506654915632,2,True,False,4,5
Apolo Anton Ohno,0.012076597941161199,0,True,False,4,5
Heather Mills,0.00425974730065147,1,True,False,4,5
Billy Ray Cyrus,-0.044035433096993565,-2,False,True,4,5
Joey Fatone,-0.008253190544138977,0,False,True,4,5
John Ratzenberger,-0.013871031808368364,-1,False,True,4,6
Ian Ziering,-0.02366067886290954,0,False,True,4,6
Laila Ali,0.011835036491687406,4,True,False,4,6
Apolo Anton Ohno,-0.006030168867874192,0,False,True,4,6
Heather Mills,0.09436210536745512,2,True,False,4,6
Billy Ray Cyrus,-0.043229838263069115,-3,False,True,4,6
Joey Fatone,-0.019405424056921333,-2,False,True,4,6
John Ratzenberger,0.10159795915454328,1,True,False,4,7
Ian Ziering,-0.01781785696162963,0,False,True,4,7
Laila Ali,0.012343375607833718,3,True,False,4,7
Apolo Anton Ohno,-0.024709358339929904,-2,False,True,4,7
Billy Ray Cyrus,-0.054132289143609943,-1,False,True,4,7
Joey Fatone,-0.01728183031720748,-1,False,True,4,7
Ian Ziering,-0.027692968467253082,0,False,True,4,8
Laila Ali,-0.008118787296193947,0,False,True,4,8
Apolo Anton Ohno,-0.013823976258746679,1,False,True,4,8
Billy Ray Cyrus,0.0861594027402511,0,True,False,4,8
Joey Fatone,-0.03652367071805737,-1,False,True,4,8
Ian Ziering,0.1550245114862564,0,True,False,4,9
Laila Ali,-0.024133526227399615,2,False,True,4,9
Apolo Anton Ohno,-0.060759445232052955,-1,False,True,4,9
Joey Fatone,-0.07013154002680377,-1,False,True,4,9
Cameron Mathison,-0.009751783475113532,0,False,True,5,1
Jane Seymour,0.017690976160663174,7,True,False,5,1
Sabrina Bryan,0.009678469430674408,3,True,False,5,1
Jennie Garth,-0.032932095065269326,-5,False,True,5,1
Floyd Mayweather Jr. ,-0.016758032892635125,-4,False,True,5,1
Josie Maran,0.03774059708041527,0,True,False,5,1
Albert Reed,0.01307312793734218,4,True,False,5,1
Helio Castroneves,0.0006698162882155384,1,True,False,5,1
Mel B,-0.007477836423743112,-2,False,True,5,1
Wayne Newton,-0.0037688777599252654,-1,False,True,5,1
Marie Osmond,-0.0074481823233129435,-2,False,True,5,1
Mark Cuban,-0.0007161789573112698,-1,False,True,5,1
Cameron Mathison,-0.008355254177627086,2,False,True,5,2
Jane Seymour,0.008298254149127077,3,True,False,5,2
Sabrina Bryan,0.01262664917046745,4,True,False,5,2
Jennie Garth,-0.0328348664174332,-6,False,True,5,2
Floyd Mayweather Jr. ,-0.01259305629652814,-3,False,True,5,2
Albert Reed,0.06648948324474163,2,True,False,5,2
Helio Castroneves,0.0012218220394824425,1,True,False,5,2
Mel B,-0.00987799779614175,-1,False,True,5,2
Wayne Newton,-0.010823426840284853,-1,False,True,5,2
Marie Osmond,-0.0027333156523721147,1,False,True,5,2
Mark Cuban,-0.011418291423431426,-2,False,True,5,2
Cameron Mathison,-0.012177122899998796,-3,False,True,5,3
Jane Seymour,0.023250884381123063,8,True,False,5,3
Sabrina Bryan,0.004529578764731368,1,True,False,5,3
Jennie Garth,-0.027100329887421143,-3,False,True,5,3
Floyd Mayweather Jr. ,-0.015013722077338393,-1,False,True,5,3
Helio Castroneves,-0.00367882118732836,0,False,True,5,3
Mel B,-0.006581524568599631,-1,False,True,5,3
Wayne Newton,0.04768509924276827,0,True,False,5,3
Marie Osmond,0.003105579174351586,0,True,False,5,3
Mark Cuban,-0.014019620942287966,-1,False,True,5,3
Cameron Mathison,-0.0036487441320643688,3,False,True,5,4
Jane Seymour,0.012600761855936476,3,True,False,5,4
Sabrina Bryan,0.009139168672148423,3,True,False,5,4
Jennie Garth,-0.0338162592158219,-2,False,True,5,4
Floyd Mayweather Jr. ,0.06440268134663982,1,True,False,5,4
Helio Castroneves,-0.010341447478416033,-1,False,True,5,4
Mel B,-0.020154654521771703,-4,False,True,5,4
Marie Osmond,-0.004924346906617902,-1,False,True,5,4
Mark Cuban,-0.013257159620032807,-2,False,True,5,4
Cameron Mathison,-0.0063175884566836205,1,False,True,5,5
Jane Seymour,0.017298120989600166,3,True,False,5,5
Sabrina Bryan,0.0036951627845977775,1,True,False,5,5
Jennie Garth,-0.0460562279702299,-4,False,True,5,5
Helio Castroneves,-0.015942163160784867,-1,False,True,5,5
Mel B,-0.005317917202543765,1,False,True,5,5
Marie Osmond,-0.015855210362184652,-1,False,True,5,5
Mark Cuban,0.06849582337822885,0,True,False,5,5
Cameron Mathison,-0.019244474364456393,0,False,True,5,6
Jane Seymour,0.003250374633483183,-1,True,False,5,6
Sabrina Bryan,0.095749871633282,2,True,False,5,6
Jennie Garth,-0.04821027928411173,-2,False,True,5,6
Helio Castroneves,-0.01146901125427116,1,False,True,5,6
Mel B,-0.007717303086921257,1,False,True,5,6
Marie Osmond,-0.012359178277004668,-1,False,True,5,6
Cameron Mathison,-0.013984532516889941,-1,False,True,5,7
Jane Seymour,0.11620089263420322,0,True,False,5,7
Jennie Garth,-0.052545594095160714,-1,False,True,5,7
Helio Castroneves,-0.02075630830252334,0,False,True,5,7
Mel B,-0.022604255195548234,1,False,True,5,7
Marie Osmond,-0.0063102025240810156,1,False,True,5,7
Cameron Mathison,0.12991283700918338,2,True,False,5,8
Jennie Garth,-0.07730058504186607,-3,False,True,5,8
Helio Castroneves,-0.00861050704529534,2,False,True,5,8
Mel B,-0.02234169039989703,0,False,True,5,8
Marie Osmond,-0.021660054522124966,-1,False,True,5,8
Jennie Garth,0.14072691572234824,1,True,False,5,9
Helio Castroneves,-0.04452283386967071,1,False,True,5,9
Mel B,-0.05778243784755188,-1,False,True,5,9
Marie Osmond,-0.03842164400512568,-1,False,True,5,9
Cristian de la Fuente,-0.012940733707720933,-3,False,True,6,2
Steve Guttenberg,-0.014179628879697703,-2,False,True,6,2
Priscilla Presley,0.018252130526843477,5,True,False,6,2
Marlee Matlin,0.007311870971110579,4,True,False,6,2
Shannon Elizabeth,-0.023967744668697236,-4,False,True,6,2
Marissa Jaret Winokur,-0.012998885098664342,-3,False,True,6,2
Jason Taylor,0.015777021118082546,6,True,False,6,2
Kristi Yamaguchi,0.008678217568680771,1,True,False,6,2
Monica Seles,0.03403534658965773,0,True,False,6,2
Penn Jillette,-0.005890276096889024,0,False,True,6,2
Adam Carolla,-0.024926888338930545,-7,False,True,6,2
Mario,0.010849570016224705,3,True,False,6,2
Cristian de la Fuente,-0.009905925015001593,-1,False,True,6,3
Steve Guttenberg,0.0618997510756899,4,True,False,6,3
Priscilla Presley,0.030443154282524865,7,True,False,6,3
Marlee Matlin,-0.0015966743228802566,1,False,True,6,3
Shannon Elizabeth,-0.035265998316925645,-3,False,True,6,3
Marissa Jaret Winokur,-0.01977170790868317,-5,False,True,6,3
Jason Taylor,0.0036829541047605774,2,True,False,6,3
Kristi Yamaguchi,0.003006706465840475,3,True,False,6,3
Adam Carolla,-0.02627498419420421,-5,False,True,6,3
Mario,-0.006217276171121,-3,False,True,6,3
Cristian de la Fuente,-0.012984008714226586,-1,False,True,6,4
Priscilla Presley,0.01607423692600736,0,True,False,6,4
Marlee Matlin,-0.004151388742361026,2,False,True,6,4
Shannon Elizabeth,-0.026645431100493333,-2,False,True,6,4
Marissa Jaret Winokur,-0.015271994302663808,-2,False,True,6,4
Jason Taylor,0.013940731414810142,5,True,False,6,4
Kristi Yamaguchi,-0.007607679359395242,0,False,True,6,4
Adam Carolla,0.0462615253529849,0,True,False,6,4
Mario,-0.009615991474662397,-2,False,True,6,4
Cristian de la Fuente,-0.0171027150043513,-1,False,True,6,5
Priscilla Presley,0.07894104586213263,0,True,False,6,5
Marlee Matlin,-0.0036683484061148797,0,False,True,6,5
Shannon Elizabeth,-0.04068992443923507,-5,False,True,6,5
Marissa Jaret Winokur,-0.017850876528105714,-1,False,True,6,5
Jason Taylor,0.005498349138115144,4,True,False,6,5
Kristi Yamaguchi,-0.00909057914643574,1,False,True,6,5
Mario,0.0039630485239949,2,True,False,6,5
Cristian de la Fuente,-0.015786166314466527,0,False,True,6,6
Marlee Matlin,0.07768595107438042,0,True,False,6,6
Shannon Elizabeth,-0.043822037528815,-4,False,True,6,6
Marissa Jaret Winokur,-0.012828218464620733,0,False,True,6,6
Jason Taylor,-0.0014453205781282397,0,False,True,6,6
Kristi Yamaguchi,-0.009382203752881513,1,False,True,6,6
Mario,0.005577995564531563,3,True,False,6,6
Cristian de la Fuente,-0.03387764090762885,-3,False,True,6,7
Shannon Elizabeth,0.09416302242366402,2,True,False,6,7
Marissa Jaret Winokur,-0.02241176756495422,-1,False,True,6,7
Jason Taylor,-0.0017708264212155655,4,False,True,6,7
Kristi Yamaguchi,-0.019300176663839402,-1,False,True,6,7
Mario,-0.01680261086602597,-1,False,True,6,7
Cristian de la Fuente,-0.03163472746794635,0,False,True,6,8
Marissa Jaret Winokur,-0.04526445215611466,-2,False,True,6,8
Jason Taylor,-0.02444331145284362,0,False,True,6,8
Kristi Yamaguchi,-0.030636061625275407,0,False,True,6,8
Mario,0.13197855270218006,2,True,False,6,8
Cristian de la Fuente,-0.054024138025423274,0,False,True,6,9
Marissa Jaret Winokur,0.14854661001852845,0,True,False,6,9
Jason Taylor,-0.025942382782714823,0,False,True,6,9
Kristi Yamaguchi,-0.06858008921039038,0,False,True,6,9
Ted McGinley,0.05247158375391815,5,True,False,7,1
Cloris Leachman,0.007328124177305967,0,True,False,7,1
Susan Lucci,0.00836955288249655,2,True,False,7,1
Cody Linley,-0.004437153701245686,0,False,True,7,1
Misty May-Treanor,0.0012847758993431296,2,True,False,7,1
Maurice Greene,-0.008676407859199778,-2,False,True,7,1
Warren Sapp,-0.003245301676473078,0,False,True,7,1
Jeffrey Ross,-0.02394520247592745,-3,False,True,7,1
Toni Braxton,-0.008605554238173677,0,False,True,7,1
Lance Bass,-0.002725501312612816,0,False,True,7,1
Kim Kardashian,-0.007605058299731279,-2,False,True,7,1
Rocco DiSpirito,-0.008445510078523719,-2,False,True,7,1
Brooke Burke,-0.0017683470711762767,0,False,True,7,1
Cloris Leachman,0.004376171418854935,-1,True,False,7,2
Susan Lucci,0.014133283989718914,5,True,False,7,2
Cody Linley,-0.011663528908687534,-1,False,True,7,2
Misty May-Treanor,0.0022611780536659493,1,True,False,7,2
Maurice Greene,-0.01132099796819129,-2,False,True,7,2
Warren Sapp,-0.0015416700016042256,2,False,True,7,2
Toni Braxton,-0.017667762680035184,-2,False,True,7,2
Lance Bass,-0.009040912212763805,-2,False,True,7,2
Kim Kardashian,0.049444263183670054,2,True,False,7,2
Rocco DiSpirito,-0.015661753984723137,-2,False,True,7,2
Brooke Burke,-0.003318270889904676,0,False,True,7,2
Cloris Leachman,0.023934133572302813,3,True,False,7,4
Susan Lucci,0.02043674231130646,4,True,False,7,4
Cody Linley,-0.015676084775108984,0,False,True,7,4
Maurice Greene,-0.01909970308543761,-2,False,True,7,4
Warren Sapp,-0.012671788391250369,-1,False,True,7,4
Toni Braxton,-0.025421796041254968,-5,False,True,7,4
Lance Bass,-0.00429046168757749,2,False,True,7,4
Rocco DiSpirito,0.05353862966012361,0,True,False,7,4
Brooke Burke,-0.020749671563103422,-1,False,True,7,4
Cloris Leachman,0.012068250317873272,0,True,False,7,5
Susan Lucci,0.002078746375452953,1,True,False,7,5
Cody Linley,-0.0024691440455890112,2,False,True,7,5
Maurice Greene,-0.008058849450694267,0,False,True,7,5
Warren Sapp,-0.02258086226646608,-2,False,True,7,5
Toni Braxton,0.06736548554749647,2,True,False,7,5
Lance Bass,-0.028581374071901366,-3,False,True,7,5
Brooke Burke,-0.01982225240617197,0,False,True,7,5
Cloris Leachman,0.06377338501169251,0,True,False,7,6
Susan Lucci,0.016458536354268166,2,True,False,7,6
Cody Linley,-0.02413658394329199,-1,False,True,7,6
Maurice Greene,-0.021856376553188284,-1,False,True,7,6
Warren Sapp,-0.017070086660043338,-1,False,True,7,6
Lance Bass,-0.0035528861514430576,2,False,True,7,6
Brooke Burke,-0.013615988057994022,-1,False,True,7,6
Susan Lucci,0.12000928882004205,2,True,False,7,7
Cody Linley,-0.023222105207209437,0,False,True,7,7
Maurice Greene,-0.020703049097546167,1,False,True,7,7
Warren Sapp,-0.0356200285337257,-2,False,True,7,7
Lance Bass,-0.02510465085818689,-1,False,True,7,7
Brooke Burke,-0.015359455123373889,0,False,True,7,7
Cody Linley,-0.0333204501935018,0,False,True,7,8
Maurice Greene,0.12155858078230439,0,True,False,7,8
Warren Sapp,-0.016961539862896224,0,False,True,7,8
Lance Bass,-0.03130541410422008,0,False,True,7,8
Brooke Burke,-0.03997117662168631,0,False,True,7,8
Cody Linley,0.14081950378579133,0,True,False,7,9
Warren Sapp,-0.05917056606296894,0,False,True,7,9
Lance Bass,-0.017591470682473243,2,False,True,7,9
Brooke Burke,-0.06405746704034915,-2,False,True,7,9
Gilles Marini,0.011908638465937801,3,True,False,8,2
Denise Richards,-0.01204557175564494,-2,False,True,8,2
David Alan Grier,-0.00962260086790015,-3,False,True,8,2
Lawrence Taylor,0.001791553905121021,3,True,False,8,2
Ty Murray,-0.003231449108680784,-2,False,True,8,2
Shawn Johnson,0.012551190926940958,3,True,False,8,2
Steve Wozniak,0.005798508384765408,0,True,False,8,2
Belinda Carlisle,0.04357411369163802,4,True,False,8,2
Chuck Wicks,-0.02329526114696802,-6,False,True,8,2
Lil' Kim,-0.029082916695033045,-3,False,True,8,2
Steve-O,-0.02111615568856133,-6,False,True,8,2
Holly Madison,-0.0029724142362787254,1,False,True,8,2
Melissa Rycroft,0.02574236412466377,8,True,False,8,2
Gilles Marini,0.008059163478400647,2,True,False,8,3
Denise Richards,0.035808512392445174,2,True,False,8,3
David Alan Grier,0.0058859446752558,-1,True,False,8,3
Lawrence Taylor,-0.0017054827425051489,0,False,True,8,3
Ty Murray,0.004621338137440728,-1,True,False,8,3
Shawn Johnson,0.021120970009303908,4,True,False,8,3
Steve Wozniak,-0.012756647323205549,-1,False,True,8,3
Chuck Wicks,-0.028068278207367445,-5,False,True,8,3
Lil' Kim,-0.02808996640718793,-3,False,True,8,3
Steve-O,-0.021681022257833964,-4,False,True,8,3
Holly Madison,-0.010477704845151634,1,False,True,8,3
Melissa Rycroft,0.027283173090405455,6,True,False,8,3
Gilles Marini,0.019240679313002634,2,True,False,8,4
David Alan Grier,-0.0035430657622030903,-2,False,True,8,4
Lawrence Taylor,-0.007244554759956001,0,False,True,8,4
Ty Murray,0.011702530162013974,1,True,False,8,4
Shawn Johnson,0.01250373064273426,1,True,False,8,4
Steve Wozniak,0.031064065745877466,0,True,False,8,4
Chuck Wicks,-0.03554208496161462,-5,False,True,8,4
Lil' Kim,-0.023298032987084258,-2,False,True,8,4
Steve-O,-0.024083180565610818,-3,False,True,8,4
Holly Madison,-0.016401847031190867,1,False,True,8,4
Melissa Rycroft,0.03560176020403133,7,True,False,8,4
Gilles Marini,0.01249287529405671,2,True,False,8,5
David Alan Grier,0.07077788776989627,3,True,False,8,5
Lawrence Taylor,-0.007613656187780482,-1,False,True,8,5
Ty Murray,-0.009863354931677462,-2,False,True,8,5
Shawn Johnson,0.014907069358296582,4,True,False,8,5
Chuck Wicks,-0.04213406630512839,-3,False,True,8,5
Lil' Kim,-0.03794325706686663,-2,False,True,8,5
Steve-O,-0.02783117105844267,-5,False,True,8,5
Melissa Rycroft,0.027207673127646076,4,True,False,8,5
Gilles Marini,0.00918639399713822,0,True,False,8,6
Lawrence Taylor,0.0006423228375743023,-1,True,False,8,6
Ty Murray,-0.01745935214503118,0,False,True,8,6
Shawn Johnson,0.015226996413379199,0,True,False,8,6
Chuck Wicks,-0.04980375540537313,-3,False,True,8,6
Lil' Kim,-0.03446813959370745,0,False,True,8,6
Steve-O,0.04706098979213786,0,True,False,8,6
Melissa Rycroft,0.029614544103882173,4,True,False,8,6
Gilles Marini,0.0016308896633448755,0,True,False,8,7
Lawrence Taylor,0.07573679952548905,0,True,False,8,7
Ty Murray,-0.009300924599490723,-2,False,True,8,7
Shawn Johnson,0.013911797872411452,3,True,False,8,7
Chuck Wicks,-0.04652122959750282,-2,False,True,8,7
Lil' Kim,-0.0649872402806104,-4,False,True,8,7
Melissa Rycroft,0.029529907416358553,5,True,False,8,7
Gilles Marini,-0.01891680727760628,0,False,True,8,8
Ty Murray,-0.004072284555018707,0,False,True,8,8
Shawn Johnson,-0.002578984107028587,0,False,True,8,8
Chuck Wicks,0.0927540172492821,1,True,False,8,8
Lil' Kim,-0.07189319592693313,0,False,True,8,8
Melissa Rycroft,0.00470725461730459,-1,True,False,8,8
Gilles Marini,-0.044560123144234354,-1,False,True,8,9
Ty Murray,-0.050147800291732325,-3,False,True,8,9
Shawn Johnson,-0.010749216382053006,0,False,True,8,9
Lil' Kim,0.09650983465777217,1,True,False,8,9
Melissa Rycroft,0.008947305160247554,3,True,False,8,9
Gilles Marini,-0.06688626543204762,0,False,True,8,10
Ty Murray,0.12973406430297724,0,True,False,8,10
Shawn Johnson,-0.03983119655071421,0,False,True,8,10
Melissa Rycroft,-0.023016602320215462,0,False,True,8,10
Ashley Hamiliton,0.026300955378512528,1,True,False,9,1
Debi Mazar,-0.014491835542891851,-4,False,True,9,1
Melissa Joan Hart,-0.018748313264759446,-8,False,True,9,1
Mark Dacascos,0.0038336197519647647,2,True,False,9,1
Chuck Liddell,-0.013002334649191316,-2,False,True,9,1
Natalie Coughlin,-0.0013731082040910475,0,False,True,9,1
Louie Vito,0.011889899753713726,6,True,False,9,1
Michael Irvin,-0.014315622685192708,-3,False,True,9,1
Joanna Krupa,0.011245182585191665,2,True,False,9,1
Kathy Ireland,-0.0074073024304326385,0,False,True,9,1
Tom DeLay,0.0027106036403110045,2,True,False,9,1
Macy Gray,-0.02495437537468593,-11,False,True,9,1
Aaron Carter,0.012235158347158076,8,True,False,9,1
Mya,0.003060790426527793,-1,True,False,9,1
Donny Osmond,0.00181852726516038,-1,True,False,9,1
Kelly Osbourne,0.021198155002704958,9,True,False,9,1
Debi Mazar,-0.0108579861720189,0,False,True,9,2
Melissa Joan Hart,-0.01933390843169508,-6,False,True,9,2
Mark Dacascos,-0.00145997959341429,5,False,True,9,2
Chuck Liddell,-0.015876206011303393,-4,False,True,9,2
Natalie Coughlin,-0.001762579805234435,3,False,True,9,2
Louie Vito,0.005736409117527201,1,True,False,9,2
Michael Irvin,-0.012517345496835725,-2,False,True,9,2
Joanna Krupa,-0.010149343839234562,0,False,True,9,2
Kathy Ireland,0.04085567553774838,1,True,False,9,2
Tom DeLay,0.005451050754511036,-1,True,False,9,2
Aaron Carter,0.012062178851688463,6,True,False,9,2
Mya,0.00402107322291452,-1,True,False,9,2
Donny Osmond,-0.001318946841630142,-1,False,True,9,2
Kelly Osbourne,0.005149908706976916,-1,True,False,9,2
Debi Mazar,0.04200595853690846,3,True,False,9,3
Melissa Joan Hart,-0.026649849323242922,-7,False,True,9,3
Mark Dacascos,-0.0085940051564031,-2,False,True,9,3
Chuck Liddell,-0.0206550790597141,-6,False,True,9,3
Natalie Coughlin,0.004602536094854989,0,True,False,9,3
Louie Vito,0.007173737637575908,5,True,False,9,3
Michael Irvin,-0.01658457661741264,-3,False,True,9,3
