season,week,n_contestants,actual_eliminated,pct_eliminated,rank_eliminated,same_result,pct_judge_weight,pct_fan_weight
5,7,6,Jane Seymour,Jane Seymour,Jane Seymour,True,0.005221787674567601,0.9947782123254325
5,8,5,Cameron Mathison,Cameron Mathison,Marie Osmond,False,0.029859251994568396,0.9701407480054316
5,9,4,Jennie Garth,Jennie Garth,Jennie Garth,True,0.007150377759230386,0.9928496222407696
6,2,12,Monica Seles,Monica Seles,Monica Seles,True,0.3335557928269342,0.6664442071730659
6,3,10,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,True,0.1318708041726661,0.8681291958273338
6,4,9,Adam Carolla,Adam Carolla,Adam Carolla,True,0.1666713378725675,0.8333286621274325
6,5,8,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,0.10812267621425192,0.8918773237857481
6,6,7,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,0.10593174084375188,0.8940682591562482
6,7,6,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,True,0.04438298839030019,0.9556170116096998
6,8,5,Mario,Mario,Marissa Jaret Winokur,False,0.017785698889805877,0.982214301110194
6,9,4,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,0.007875468335905498,0.9921245316640945
7,1,13,Ted McGinley,Ted McGinley,Cloris Leachman,False,0.2702725809665057,0.7297274190334943
7,2,11,Kim Kardashian,Kim Kardashian,Cloris Leachman,False,0.21698080259806263,0.7830191974019374
7,4,9,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,0.12152935452211747,0.8784706454778826
7,5,8,Toni Braxton,Toni Braxton,Cloris Leachman,False,0.1536882674657141,0.8463117325342858
7,6,7,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,0.18546027147562988,0.8145397285243701
7,7,6,Susan Lucci,Susan Lucci,Susan Lucci,True,0.10470499742007215,0.8952950025799278
7,8,5,Maurice Greene,Maurice Greene,Maurice Greene,True,0.02868523715604133,0.9713147628439586
7,9,4,Cody Linley,Cody Linley,Cody Linley,True,0.045077223562306305,0.9549227764376937
8,2,13,Belinda Carlisle,Belinda Carlisle,Steve Wozniak,False,0.30425410663640506,0.6957458933635949
8,3,12,Denise Richards,Denise Richards,Steve Wozniak,False,0.41034673757377144,0.5896532624262286
8,4,11,Steve Wozniak,Steve Wozniak,Steve Wozniak,True,0.4043345564181354,0.5956654435818646
8,5,9,David Alan Grier,David Alan Grier,David Alan Grier,True,0.1675027417539628,0.8324972582460373
8,6,8,Steve-O,Steve-O,Steve-O,True,0.22048323280711718,0.7795167671928828
8,7,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,0.06952481179954671,0.9304751882004532
8,8,6,Chuck Wicks,Chuck Wicks,Chuck Wicks,True,0.03455523890650075,0.9654447610934993
8,9,5,Lil' Kim,Lil' Kim,Lil' Kim,True,0.07572256341324819,0.9242774365867518
8,10,4,Ty Murray,Ty Murray,Ty Murray,True,0.040747116473620275,0.9592528835263796
9,1,16,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,True,0.46833419200030696,0.531665807999693
9,2,14,Kathy Ireland,Kathy Ireland,Kathy Ireland,True,0.2544080356843429,0.7455919643156571
9,3,13,Debi Mazar,Debi Mazar,Tom DeLay,False,0.3466959475143192,0.6533040524856808
9,4,11,Chuck Liddell,Chuck Liddell,Chuck Liddell,True,0.354203095389436,0.645796904610564
9,5,10,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,True,0.12572318686061282,0.8742768131393872
9,6,9,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,True,0.3186686388429783,0.6813313611570216
9,7,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,True,0.06324407125448944,0.9367559287455105
9,8,5,Aaron Carter,Aaron Carter,Aaron Carter,True,0.03246499018931304,0.967535009810687
9,9,4,Joanna Krupa,Joanna Krupa,Joanna Krupa,True,0.023389991927258498,0.9766100080727415
10,2,11,Shannen Doherty,Shannen Doherty,Buzz Aldrin,False,0.351741325816091,0.6482586741839089
10,3,10,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True,0.2535694430076134,0.7464305569923867
10,4,9,Aiden Turner,Aiden Turner,Aiden Turner,True,0.2549034679369976,0.7450965320630025
10,5,8,Kate Gosselin,Kate Gosselin,Kate Gosselin,True,0.2810349643037088,0.7189650356962912
10,6,7,Jake Pavelka,Jake Pavelka,Jake Pavelka,True,0.12350947536516353,0.8764905246348365
10,7,6,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,0.009510132526664944,0.9904898674733351
10,8,5,Niecy Nash,Niecy Nash,Niecy Nash,True,0.08218646554789598,0.9178135344521041
10,9,4,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True,0.013715966467840636,0.9862840335321593
11,1,12,David Hasselhoff,David Hasselhoff,David Hasselhoff,True,0.317657433523105,0.682342566476895
11,2,11,Michael Bolton,Michael Bolton,Michael Bolton,True,0.26156461338150616,0.7384353866184938
11,3,10,Margaret Cho,Margaret Cho,Margaret Cho,True,0.14983279547425762,0.8501672045257423
11,4,9,The Situation,The Situation,The Situation,True,0.3059264374331912,0.6940735625668089
11,5,8,Florence Henderson,Florence Henderson,Florence Henderson,True,0.1275705791395518,0.8724294208604483
11,6,7,Audrina Patridge,Audrina Patridge,Kurt Warner,False,0.15516158676364974,0.8448384132363502
11,7,6,Rick Fox,Rick Fox,Kyle Massey,False,0.01815991349185335,0.9818400865081467
11,8,5,Kurt Warner,Kurt Warner,Kurt Warner,True,0.05561921721999303,0.944380782780007
11,9,4,Brandy,Brandy,Brandy,True,0.015061737153053744,0.9849382628469462
12,2,11,Mike Catherwood,Mike Catherwood,Mike Catherwood,True,0.19775173073770058,0.8022482692622995
12,3,10,Wendy Williams,Wendy Williams,Wendy Williams,True,0.19551512827413922,0.8044848717258607
12,4,9,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,True,0.11545929624761919,0.8845407037523809
12,5,8,Petra Nemcova,Petra Nemcova,Petra Nemcova,True,0.0818982818890278,0.9181017181109722
12,6,7,Chris Jericho,Chris Jericho,Chris Jericho,True,0.07142352124546861,0.9285764787545313
12,7,6,Kendra Wilkinson,Kendra Wilkinson,Kirstie Alley,False,0.015665298303398762,0.9843347016966012
12,8,5,Romeo,Romeo,Romeo,True,0.028786712480207997,0.9712132875197921
12,9,4,Ralph Macchio,Ralph Macchio,Ralph Macchio,True,0.1309023111545907,0.8690976888454093
13,1,12,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),True,0.2612710175283493,0.7387289824716508
13,2,11,Elisabetta Canalis,Elisabetta Canalis,Chaz Bono,False,0.13728549904007145,0.8627145009599286
13,3,10,Kristin Cavallari,Kristin Cavallari,Nancy Grace,False,0.13723741732855688,0.8627625826714431
13,4,9,Chynna Phillips,Chynna Phillips,Nancy Grace,False,0.15454733040904323,0.8454526695909568
13,5,8,Carson Kressley,Carson Kressley,Carson Kressley,True,0.12297078403681354,0.8770292159631864
13,6,7,Chaz Bono,Chaz Bono,Chaz Bono,True,0.1870552773143716,0.8129447226856283
13,7,6,David Arquette,David Arquette,David Arquette,True,0.033172966199791015,0.966827033800209
13,8,5,Nancy Grace,Nancy Grace,Nancy Grace,True,0.059560777883411756,0.9404392221165883
13,9,4,Hope Solo,Hope Solo,Hope Solo,True,0.08302214209771021,0.9169778579022898
14,2,12,Martina Navratilova,Martina Navratilova,Martina Navratilova,True,0.1690485220507535,0.8309514779492466
14,3,11,Jack Wagner,Jack Wagner,Gladys Knight,False,0.0591386840766154,0.9408613159233846
14,4,10,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,True,0.1115024417814265,0.8884975582185735
14,5,9,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,True,0.185433028243564,0.8145669717564359
14,6,8,Gladys Knight,Gladys Knight,Gladys Knight,True,0.1822833825719246,0.8177166174280753
14,7,7,Jaleel White,Jaleel White,Jaleel White,True,0.03211245210638678,0.9678875478936132
14,8,6,Roshon Fegan,Roshon Fegan,Melissa Gilbert,False,0.011604375466021475,0.9883956245339786
14,9,4,Maria Menounos,Maria Menounos,William Levy,False,0.0030449510629484565,0.9969550489370516
15,1,13,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,0.11671071311725811,0.8832892868827419
15,2,12,Joey Fatone,Joey Fatone,Kirstie Alley,False,0.14815329733067745,0.8518467026693225
15,3,11,Helio Castroneves,Helio Castroneves,Kirstie Alley,False,0.04011761545461189,0.9598823845453881
15,4,9,Bristol Palin,Bristol Palin,Kirstie Alley,False,0.0888812173024802,0.9111187826975197
15,6,8,Sabrina Bryan,Sabrina Bryan,Kirstie Alley,False,0.025985047132491102,0.9740149528675088
15,8,7,Gilles Marini,Gilles Marini,Kirstie Alley,False,0.028072434191878822,0.9719275658081211
15,9,5,Apolo Anton Ohno,Apolo Anton Ohno,Apolo Anton Ohno,True,0.010061529517911184,0.9899384704820888
16,3,11,Wynonna Judd,Wynonna Judd,Wynonna Judd,True,0.2954555633115887,0.7045444366884114
16,4,10,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,True,0.19257030201209435,0.8074296979879056
16,5,9,D. L. Hughley,D. L. Hughley,D. L. Hughley,True,0.24558164397425336,0.7544183560257466
16,6,8,Victor Ortiz,Victor Ortiz,Victor Ortiz,True,0.09748698320598033,0.9025130167940196
16,7,7,Andy Dick,Andy Dick,Andy Dick,True,0.22685182760692743,0.7731481723930725
16,8,6,Sean Lowe,Sean Lowe,Sean Lowe,True,0.08342582054226891,0.9165741794577311
16,9,5,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,True,0.02434787251633179,0.9756521274836683
16,10,4,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,True,0.0046179351640022685,0.9953820648359978
17,2,12,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,True,0.1832457341996679,0.8167542658003321
17,3,11,Bill Nye,Bill Nye,Bill Nye,True,0.20740587189095488,0.7925941281090452
17,4,10,Valerie Harper,Valerie Harper,Valerie Harper,True,0.1293337430753749,0.8706662569246251
17,5,9,Christina Milian,Christina Milian,Bill Engvall,False,0.0708157559647123,0.9291842440352878
17,7,8,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",Bill Engvall,False,0.029150260467864862,0.9708497395321352
17,8,7,Brant Daugherty,Brant Daugherty,Bill Engvall,False,0.06115937102958434,0.9388406289704156
17,9,6,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Bill Engvall,False,0.10061982921390511,0.8993801707860949
17,10,5,Leah Remini,Leah Remini,Leah Remini,True,0.06796270615872384,0.9320372938412761
17,11,4,Bill Engvall,Bill Engvall,Bill Engvall,True,0.028932599548265832,0.9710674004517341
18,2,11,Sean Avery,Sean Avery,Billy Dee Williams,False,0.192637992557664,0.807362007442336
18,5,9,Cody Simpson,Cody Simpson,Drew Carey,False,0.0927943683550987,0.9072056316449012
18,6,8,Drew Carey,Drew Carey,Drew Carey,True,0.056908560801415875,0.9430914391985842
18,7,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,True,0.023378337028823325,0.9766216629711767
18,8,6,Danica McKellar,Danica McKellar,Meryl Davis,False,0.02364470346744252,0.9763552965325575
18,9,5,Charlie White,Charlie White,Charlie White,True,0.008913593350333156,0.9910864066496669
18,10,4,James Maslow,James Maslow,James Maslow,True,0.017198013968649135,0.9828019860313508
19,1,13,Lolo Jones,Lolo Jones,Lolo Jones,True,0.2795589042717823,0.7204410957282176
19,2,12,Tavis Smiley,Tavis Smiley,Tavis Smiley,True,0.11711819039640928,0.8828818096035908
19,3,11,Randy Couture,Randy Couture,Randy Couture,True,0.18290502242845585,0.8170949775715443
19,4,10,Betsey Johnson,Betsey Johnson,Tommy Chong,False,0.2319601145338263,0.7680398854661736
19,6,9,Jonathan Bennett,Jonathan Bennett,Tommy Chong,False,0.13797158175425533,0.8620284182457446
19,7,8,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,True,0.11913492404181182,0.8808650759581883
19,8,7,Michael Waltrip,Michael Waltrip,Michael Waltrip,True,0.21699306060104157,0.7830069393989584
19,9,6,Lea Thompson,Lea Thompson,Lea Thompson,True,0.073917754554406,0.926082245445594
19,10,5,Tommy Chong,Tommy Chong,Tommy Chong,True,0.03867917161030182,0.9613208283896982
19,11,4,Bethany Mota,Bethany Mota,Bethany Mota,True,0.002160900712614494,0.9978390992873855
20,2,12,Redfoo,Redfoo,Charlotte McKinney,False,0.21182090089035863,0.7881790991096413
20,3,11,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,True,0.2259392604031096,0.7740607395968904
20,4,10,Michael Sam,Michael Sam,Suzanne Somers,False,0.14976693755157222,0.8502330624484278
20,5,9,Suzanne Somers,Suzanne Somers,Robert Herjavec,False,0.2508863633891428,0.7491136366108572
20,6,8,Patti LaBelle,Patti LaBelle,Robert Herjavec,False,0.01877500216058428,0.9812249978394157
20,7,7,Willow Shields,Willow Shields,Robert Herjavec,False,0.0953593427832634,0.9046406572167366
20,8,6,Robert Herjavec,Robert Herjavec,Robert Herjavec,True,0.09196169825155681,0.9080383017484431
20,9,4,Nastia Liukin,Nastia Liukin,Noah Galloway,False,0.003728011712916181,0.9962719882870839
21,2,13,Victor Espinoza,Victor Espinoza,Paula Deen,False,0.2009763414377063,0.7990236585622937
21,4,10,Gary Busey,Gary Busey,Gary Busey,True,0.19567937004760322,0.8043206299523967
21,6,9,Paula Deen,Paula Deen,Paula Deen,True,0.1849055356375138,0.8150944643624862
21,7,8,Hayes Grier,Hayes Grier,Alek Skarlatos,False,0.006849299510214721,0.9931507004897853
21,8,7,Andy Grammer,Andy Grammer,Andy Grammer,True,0.08449652613502633,0.9155034738649737
21,9,6,Alexa PenaVega,Alexa PenaVega,Alek Skarlatos,False,0.05126591809127247,0.9487340819087275
21,11,4,Carlos PenaVega,Carlos PenaVega,Alek Skarlatos,False,0.00524991473454008,0.9947500852654599
22,2,12,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True,0.23504192977632185,0.7649580702236781
22,3,11,Mischa Barton,Mischa Barton,Mischa Barton,True,0.1288446812303816,0.8711553187696185
22,4,10,Marla Maples,Marla Maples,Doug Flutie,False,0.18776384646916414,0.8122361535308359
22,6,9,Doug Flutie,Doug Flutie,Doug Flutie,True,0.09194348825860456,0.9080565117413955
22,7,8,Kim Fields,Kim Fields,Kim Fields,True,0.015709537952613897,0.9842904620473862
22,8,6,Jodie Sweetin,Jodie Sweetin,Antonio Brown,False,0.04119171061110758,0.9588082893888925
22,9,5,Antonio Brown,Antonio Brown,Antonio Brown,True,0.008360167033767726,0.9916398329662324
23,2,13,Jake T. Austin,Jake T. Austin,Rick Perry,False,0.18238212560009828,0.8176178743999017
23,3,12,Rick Perry,Rick Perry,Rick Perry,True,0.15070289779741378,0.8492971022025863
23,4,11,Babyface,Babyface,Babyface,True,0.21902866215047853,0.7809713378495214
23,6,9,Amber Rose,Amber Rose,Amber Rose,True,0.17886073826045962,0.8211392617395404
23,7,8,Maureen McCormick,Maureen McCormick,Maureen McCormick,True,0.03041494852071374,0.9695850514792862
23,8,7,Ryan Lochte,Ryan Lochte,Marilu Henner,False,0.21196169090577602,0.7880383090942241
23,9,6,Marilu Henner,Marilu Henner,Marilu Henner,True,0.021091345832684728,0.9789086541673152
23,10,5,Terra Jole,Terra Jole,James Hinchcliffe,False,0.006324050118214714,0.9936759498817853
23,11,4,Jana Kramer,Jana Kramer,Jana Kramer,True,0.01187269510155705,0.9881273048984429
24,2,12,Chris Kattan,Chris Kattan,Chris Kattan,True,0.1824508699351591,0.8175491300648409
24,3,11,Charo,Charo,Charo,True,0.2029190848098542,0.7970809151901458
24,4,10,Mr. T,Mr. T,Mr. T,True,0.1137221436660401,0.88627785633396
24,5,9,Erika Jayne,Erika Jayne,Erika Jayne,True,0.12672976999101881,0.8732702300089812
24,6,8,Heather Morris,Heather Morris,Nick Viall,False,0.06114970414179768,0.9388502958582023
24,7,7,Nancy Kerrigan,Nancy Kerrigan,Nancy Kerrigan,True,0.11025627070027337,0.8897437292997267
24,8,5,Bonner Bolton,Bonner Bolton,Bonner Bolton,True,0.08979363253980593,0.9102063674601941
24,9,4,Simone Biles,Simone Biles,Simone Biles,True,0.0134409732701996,0.9865590267298004
25,2,13,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,True,0.142383003760664,0.857616996239336
25,4,11,Derek Fisher,Derek Fisher,Derek Fisher,True,0.10327536573029152,0.8967246342697085
25,5,10,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,True,0.1174789062046536,0.8825210937953465
25,6,9,Nick Lachey,Nick Lachey,Nick Lachey,True,0.24387992739299375,0.7561200726070063
25,7,8,Nikki Bella,Nikki Bella,Nikki Bella,True,0.06657925959743549,0.9334207404025645
25,8,6,Terrell Owens,Terrell Owens,Terrell Owens,True,0.0719565253624119,0.9280434746375881
25,9,5,Victoria Arlen,Victoria Arlen,Victoria Arlen,True,0.04731793717030199,0.952682062829698
25,10,4,Drew Scott,Drew Scott,Drew Scott,True,0.004700697499314796,0.9952993025006853
26,1,10,Jamie Anderson,Jamie Anderson,Kareem Abdul-Jabbar,False,0.1694112216772477,0.8305887783227522
26,2,8,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,0.06358870121751682,0.9364112987824832
26,3,6,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle,True,0.11097846198557852,0.8890215380144214
27,1,13,Nikki Glaser,Nikki Glaser,Nikki Glaser,True,0.22502334578291483,0.7749766542170852
27,2,12,Danelle Umstead,Danelle Umstead,Danelle Umstead,True,0.2248592441540335,0.7751407558459664
27,3,11,Nancy McKeon,Nancy McKeon,Nancy McKeon,True,0.2359009339306056,0.7640990660693943
27,4,10,Tinashe,Tinashe,John Schneider,False,0.320577115462974,0.6794228845370259
27,6,9,Mary Lou Retton,Mary Lou Retton,John Schneider,False,0.2082621281319343,0.7917378718680657
27,7,8,John Schneider,John Schneider,John Schneider,True,0.04369236996309537,0.9563076300369046
27,8,6,Juan Pablo Di Pace,Juan Pablo Di Pace,Milo Manheim,False,0.12825993631824173,0.8717400636817583
28,2,12,Mary Wilson,Mary Wilson,Mary Wilson,True,0.3086822760172918,0.6913177239827082
28,4,10,Lamar Odom,Lamar Odom,Lamar Odom,True,0.2942225989083508,0.7057774010916492
28,6,9,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sean Spicer,False,0.06522993930713356,0.9347700606928664
28,7,8,Karamo Brown,Karamo Brown,Sean Spicer,False,0.08780933745547614,0.9121906625445239
28,8,7,Kate Flannery,Kate Flannery,Sean Spicer,False,0.1949562983700831,0.8050437016299169
28,9,6,Sean Spicer,Sean Spicer,Sean Spicer,True,0.14647653296119814,0.8535234670388019
28,10,5,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,0.020317231527657253,0.9796827684723428
29,2,15,Charles Oakley,Charles Oakley,Charles Oakley,True,0.16816577241432884,0.8318342275856713
29,3,14,Carole Baskin,Carole Baskin,Carole Baskin,True,0.2953911328120033,0.7046088671879968
29,4,13,Anne Heche,Anne Heche,Jeannie Mai,False,0.11927633913032124,0.8807236608696788
29,5,12,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,True,0.21196371242493608,0.7880362875750639
29,6,11,Veron Davis,Veron Davis,Skai Jackson,False,0.18378531630837255,0.8162146836916274
29,7,10,Monica Aldama,Monica Aldama,Monica Aldama,True,0.07630925420549343,0.9236907457945065
29,8,8,Chrishell Stause,Chrishell Stause,Skai Jackson,False,0.050715355890077925,0.9492846441099221
29,9,7,AJ McLean,AJ McLean,AJ McLean,True,0.08247300324002915,0.9175269967599708
29,10,6,Skai Jackson,Skai Jackson,Skai Jackson,True,0.00606605658965352,0.9939339434103465
30,2,15,Martin Kove,Martin Kove,Martin Kove,True,0.289042489503103,0.710957510496897
30,3,14,Christine Chiu,Christine Chiu,Cody Rigsby,False,0.12783109615347737,0.8721689038465227
30,4,13,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,0.13899673536471543,0.8610032646352845
30,5,11,Melanie C,Melanie C,Melanie C,True,0.11933062212608592,0.880669377873914
30,6,10,Kenya Moore,Kenya Moore,Kenya Moore,True,0.059472244101810706,0.9405277558981893
30,7,9,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,0.09072013458704947,0.9092798654129505
30,8,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,0.1151759634084895,0.8848240365915104
30,9,6,Melora Hardin,Melora Hardin,Melora Hardin,True,0.01680529109958604,0.9831947089004139
31,1,16,Jason Lewis,Jason Lewis,Jason Lewis,True,0.37909350428809374,0.6209064957119063
31,2,15,Teresa Giudice,Teresa Giudice,Cheryl Ladd,False,0.16741412482337578,0.8325858751766242
31,3,14,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,True,0.16413005582656945,0.8358699441734306
31,4,13,Sam Champion,Sam Champion,Sam Champion,True,0.15186649631269544,0.8481335036873046
31,5,12,Joseph Baena,Joseph Baena,Joseph Baena,True,0.1318580045381472,0.8681419954618528
31,6,10,Jessie James Decker,Jessie James Decker,Jessie James Decker,True,0.12943038228972642,0.8705696177102736
31,7,9,Jordin Sparks,Jordin Sparks,Jordin Sparks,True,0.06344956199228584,0.9365504380077142
31,8,8,Heidi D'Amelio,Heidi D'Amelio,Heidi D'Amelio,True,0.16467267601234073,0.8353273239876593
31,9,6,Trevor Donovan,Trevor Donovan,Trevor Donovan,True,0.060520127928800536,0.9394798720711994
32,1,14,Matt Walsh,Matt Walsh,Matt Walsh,True,0.3951841424512064,0.6048158575487936
32,2,13,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,False,0.39234049915499536,0.6076595008450048
32,3,12,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,0.32153627621359365,0.6784637237864063
32,4,11,Adrian Peterson,Adrian Peterson,Barry Williams,False,0.20914575631257087,0.7908542436874291
32,5,10,Mira Sorvino,Mira Sorvino,Harry Jowsey,False,0.15746364373496985,0.8425363562650301
32,6,9,Mauricio Umansky,Mauricio Umansky,Barry Williams,False,0.14397860745499722,0.8560213925450028
32,7,8,Lele Pons,Lele Pons,Barry Williams,False,0.02641305382343775,0.9735869461765623
32,8,7,Barry Williams,Barry Williams,Harry Jowsey,False,0.11682918165529978,0.8831708183447002
32,9,6,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,0.11259140245930147,0.8874085975406985
33,2,13,Tori Spelling,Tori Spelling,Eric Roberts,False,0.1987547248809416,0.8012452751190585
33,3,11,Eric Roberts,Eric Roberts,Eric Roberts,True,0.1951001098784197,0.8048998901215804
33,4,9,Brooks Nader,Brooks Nader,Brooks Nader,True,0.042809091875526936,0.957190908124473
33,5,8,Phaedra Parks,Phaedra Parks,Phaedra Parks,True,0.0185573479979301,0.9814426520020699
33,6,7,Jenn Tran,Jenn Tran,Stephen Nedoroscik,False,0.07675146740465975,0.9232485325953403
33,7,6,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,0.061032922616351536,0.9389670773836485
34,2,14,Corey Feldman,Corey Feldman,Corey Feldman,True,0.12700126530374434,0.8729987346962557
34,3,12,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,True,0.08083574425630141,0.9191642557436986
34,4,11,Hilaria Baldwin,Hilaria Baldwin,Andy Richter,False,0.055820791041928754,0.9441792089580714
34,6,10,Scott Hoying,Scott Hoying,Andy Richter,False,0.1041723180817901,0.8958276819182098
34,7,9,Jen Affleck,Jen Affleck,Andy Richter,False,0.09665760989922324,0.9033423901007768
34,8,8,Danielle Fishel,Danielle Fishel,Danielle Fishel,True,0.01185427574737956,0.9881457242526205
34,9,7,Andy Richter,Andy Richter,Andy Richter,True,0.07162447603934874,0.9283755239606513
34,10,6,Whitney Leavitt,Whitney Leavitt,Dylan Efron,False,0.0029514393674356285,0.9970485606325644
