season,week,actual_eliminated,elim_fixed_50_50,elim_new_system,match_fixed,match_new,suspense_fixed,suspense_new
6,4,Adam Carolla,Adam Carolla,Adam Carolla,1,1,2.167330481483618,2.182127894975949
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,1,1,2.0499790699787246,2.0627985131723023
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,1,1,1.915365474682701,1.9264979921816623
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,1,1,1.7711810185965897,1.7801500292234362
6,8,Mario,Mario,Mario,1,1,1.5847774997914432,1.5964824776722977
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,1,1,1.3584077115740365,1.3728491081399627
7,1,Ted McGinley,Ted McGinley,Jeffrey Ross,1,0,2.545188760096455,2.550220051080915
7,2,Kim Kardashian,Kim Kardashian,Kim Kardashian,1,1,2.3728236294112586,2.3818651277443665
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,1,1,2.1738570333655542,2.183580978955769
7,5,Toni Braxton,Toni Braxton,Toni Braxton,1,1,2.0629418295652777,2.065205787165022
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,1,1,1.9034622590413044,1.9171308469938688
7,7,Susan Lucci,Susan Lucci,Susan Lucci,1,1,1.7680128959588293,1.7694566503166327
7,8,Maurice Greene,Maurice Greene,Maurice Greene,1,1,1.5837675378206857,1.5951284544590467
7,9,Cody Linley,Cody Linley,Cody Linley,1,1,1.353174308731128,1.3710923750738166
8,2,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,1,1,2.543704637942687,2.5478156763575535
8,3,Denise Richards,Denise Richards,Steve Wozniak,1,0,2.453007691162775,2.454474926985777
8,4,Steve Wozniak,Steve Wozniak,Steve Wozniak,1,1,2.355940447958384,2.3612212462610405
8,5,David Alan Grier,David Alan Grier,David Alan Grier,1,1,2.1748260583854946,2.1799652658806017
8,6,Steve-O,Steve-O,Steve-O,1,1,2.043981650780014,2.052521799874766
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,1,1,1.9176619339406265,1.9294393625646125
8,8,Chuck Wicks,Chuck Wicks,Chuck Wicks,1,1,1.7730829122699545,1.7761325586365455
8,9,Lil' Kim,Lil' Kim,Lil' Kim,1,1,1.582899686360617,1.5926900659868053
8,10,Ty Murray,Ty Murray,Ty Murray,1,1,1.351317531843638,1.3696217968761315
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,1,1,2.75100800172046,2.7542937658832924
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,1,1,2.6165186607991653,2.625293420633392
9,3,Debi Mazar,Debi Mazar,Michael Irvin,1,0,2.5354387421668547,2.542651122273515
9,4,Chuck Liddell,Chuck Liddell,Chuck Liddell,1,1,2.359580137674835,2.3711106361074545
9,5,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,1,1,2.281717767095558,2.2887728855525795
9,6,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,1,1,2.1737527142482547,2.178355434535529
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,1,1,1.9240777308634627,1.930049039091999
9,8,Aaron Carter,Aaron Carter,Aaron Carter,1,1,1.583944240419942,1.5894206868291145
9,9,Joanna Krupa,Joanna Krupa,Joanna Krupa,1,1,1.3632673641799302,1.3672027944955205
10,2,Shannen Doherty,Shannen Doherty,Buzz Aldrin,1,0,2.3708967693238954,2.3748341191967954
10,3,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,1,1,2.2685882730884765,2.279166101925199
10,4,Aiden Turner,Aiden Turner,Aiden Turner,1,1,2.17023561721642,2.177970944701776
10,5,Kate Gosselin,Kate Gosselin,Kate Gosselin,1,1,2.0335155290933926,2.045331041482953
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,1,1,1.9152890587337923,1.9262248570305058
10,7,Pamela Anderson,Pamela Anderson,Pamela Anderson,1,1,1.7721243925737933,1.7811007277845818
10,8,Niecy Nash,Niecy Nash,Niecy Nash,1,1,1.571072746958484,1.5884396072524654
10,9,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,1,1,1.3566498602885102,1.3710875076137912
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,1,1,2.465088553427588,2.4687712502562715
11,2,Michael Bolton,Michael Bolton,Michael Bolton,1,1,2.3732139291344403,2.380178106837464
11,3,Margaret Cho,Margaret Cho,Margaret Cho,1,1,2.2839963488094335,2.291000660674812
11,4,The Situation,The Situation,The Situation,1,1,2.160025777191077,2.1695017046240563
11,5,Florence Henderson,Florence Henderson,Florence Henderson,1,1,2.062028245956091,2.061731869456535
11,6,Audrina Patridge,Kurt Warner,Audrina Patridge,0,1,1.9292687688690897,1.9266940278721099
11,7,Rick Fox,Rick Fox,Rick Fox,1,1,1.774898769797128,1.7770764173278681
11,8,Kurt Warner,Kurt Warner,Kurt Warner,1,1,1.582241944575827,1.5906482054337139
11,9,Brandy,Brandy,Brandy,1,1,1.3621677782659747,1.3753646168556084
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,1,1,2.3828846963808346,2.3875007595313504
12,3,Wendy Williams,Wendy Williams,Wendy Williams,1,1,2.2770921561375546,2.2865561637570537
12,4,Sugar Ray Leonard,Sugar Ray Leonard,Kendra Wilkinson,1,0,2.178035784012404,2.1864221242084203
12,5,Petra Nemcova,Petra Nemcova,Petra Nemcova,1,1,2.058166359309584,2.068201116270213
12,6,Chris Jericho,Chris Jericho,Chris Jericho,1,1,1.9187991905488886,1.931716701433154
12,7,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,1,1,1.7707949942416719,1.7732975915403035
12,8,Romeo,Romeo,Romeo,1,1,1.582971545068786,1.5973622188126404
12,9,Ralph Macchio,Ralph Macchio,Ralph Macchio,1,1,1.3381067323400573,1.3581078863597922
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),1,1,2.464273191226812,2.470516691619814
13,2,Elisabetta Canalis,Elisabetta Canalis,David Arquette,1,0,2.3841444230207163,2.3900422303807316
13,3,Kristin Cavallari,Kristin Cavallari,Chaz Bono,1,0,2.285224405434489,2.2920325338527205
13,4,Chynna Phillips,Chynna Phillips,Chynna Phillips,1,1,2.176548296098365,2.183948155769503
13,5,Carson Kressley,Carson Kressley,Carson Kressley,1,1,2.0550171329346143,2.0628869041036153
13,6,Chaz Bono,Chaz Bono,Chaz Bono,1,1,1.90936799545337,1.9205902348408026
13,7,David Arquette,David Arquette,David Arquette,1,1,1.7693170309581048,1.7801280137944955
13,8,Nancy Grace,Nancy Grace,Nancy Grace,1,1,1.5750462225430002,1.590573490250379
13,9,Hope Solo,Hope Solo,Hope Solo,1,1,1.346080606257833,1.361639772757599
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,1,1,2.4657763692605137,2.4729644171613563
14,3,Jack Wagner,Jack Wagner,Jack Wagner,1,1,2.38213611149581,2.389381568891464
14,4,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,1,1,2.286569178076892,2.2943178755190483
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,1,1,2.17049598144167,2.1790404873102935
14,6,Gladys Knight,Gladys Knight,Gladys Knight,1,1,2.0468575561184172,2.0573672707528585
14,7,Jaleel White,Jaleel White,Jaleel White,1,1,1.9247324137041366,1.9348417117537902
14,8,Roshon Fegan,Roshon Fegan,Roshon Fegan,1,1,1.77126017661613,1.7780789619394821
14,9,Maria Menounos,Maria Menounos,Maria Menounos,1,1,1.3652100904209297,1.3607022545852863
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,1,1,2.549868770576699,2.554276136293894
15,2,Joey Fatone,Joey Fatone,Joey Fatone,1,1,2.4745710020388585,2.477611588162657
15,3,Helio Castroneves,Helio Castroneves,Helio Castroneves,1,1,2.3857649984576126,2.392012371595226
15,4,Bristol Palin,Bristol Palin,Bristol Palin,1,1,2.178175048263834,2.1888383730934837
15,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,1,1,2.067109709495836,2.066182305194105
15,8,Gilles Marini,Gilles Marini,Gilles Marini,1,1,1.9302633668789557,1.92804968478817
15,9,Apolo Anton Ohno,Apolo Anton Ohno,Apolo Anton Ohno,1,1,1.5898066823730228,1.5975892327891135
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,1,1,2.370358749924703,2.37774967051151
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,1,1,2.2756931945806596,2.2861684755851925
16,5,D. L. Hughley,D. L. Hughley,D. L. Hughley,1,1,2.163977595762027,2.1726735421276127
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,1,1,2.0540839483851254,2.0617491854308785
16,7,Andy Dick,Andy Dick,Andy Dick,1,1,1.9058822970642266,1.9159970180565429
16,8,Sean Lowe,Sean Lowe,Sean Lowe,1,1,1.7575221826574396,1.7715049479498006
16,9,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,1,1,1.582619589329144,1.590076321654429
16,10,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,1,1,1.362466395493631,1.373254532797711
17,2,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,1,1,2.465668153217065,2.4721701258749476
17,3,Bill Nye,Bill Nye,Bill Nye,1,1,2.3759552102739145,2.3814343940447715
17,4,Valerie Harper,Valerie Harper,Valerie Harper,1,1,2.279648091522908,2.2892910198673366
17,5,Christina Milian,Leah Remini,Leah Remini,0,0,2.1854483569759275,2.1874748539907447
17,7,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",1,1,2.061042923628529,2.070632855679701
17,8,Brant Daugherty,Brant Daugherty,Brant Daugherty,1,1,1.9238978701733271,1.9337336373106866
17,9,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,1,1,1.7706989421126598,1.773692738943294
17,10,Leah Remini,Leah Remini,Leah Remini,1,1,1.5762280050341932,1.5913306095426656
17,11,Bill Engvall,Bill Engvall,Bill Engvall,1,1,1.351966908712404,1.3702292139576677
18,2,Sean Avery,Billy Dee Williams,Billy Dee Williams,0,0,2.3787215079220925,2.386107883418159
18,5,Cody Simpson,Cody Simpson,Cody Simpson,1,1,2.18207872755983,2.185778303899321
18,6,Drew Carey,Drew Carey,Drew Carey,1,1,2.0563531537361355,2.0657436684108132
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,1,1,1.9217968435574355,1.9352245881245023
18,8,Danica McKellar,Danica McKellar,Danica McKellar,1,1,1.7730295832773955,1.7703648012117639
18,9,Charlie White,Charlie White,Charlie White,1,1,1.5874900313860996,1.5973936900006058
18,10,James Maslow,James Maslow,James Maslow,1,1,1.3632092914259788,1.3763015812172974
19,1,Lolo Jones,Lolo Jones,Lolo Jones,1,1,2.5425424762748383,2.548827991599662
19,2,Tavis Smiley,Tavis Smiley,Tavis Smiley,1,1,2.468969882323613,2.476247804752095
19,3,Randy Couture,Randy Couture,Randy Couture,1,1,2.378518870911133,2.3846306409450593
19,4,Betsey Johnson,Betsey Johnson,Jonathan Bennett,1,0,2.273785540673453,2.2828802452120516
19,6,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,1,1,2.1740002605344055,2.18258716793458
19,7,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,1,1,2.058205835641303,2.0657353808273733
19,8,Michael Waltrip,Michael Waltrip,Michael Waltrip,1,1,1.9016083162586246,1.9156770417878564
19,9,Lea Thompson,Lea Thompson,Tommy Chong,1,0,1.7657500201536698,1.7777682950631166
19,10,Tommy Chong,Tommy Chong,Tommy Chong,1,1,1.5793926759540275,1.591302602351542
19,11,Bethany Mota,Bethany Mota,Bethany Mota,1,1,1.3624638082467184,1.3699567682095548
20,2,Redfoo,Chris Soules,Chris Soules,0,0,2.4712783904678375,2.475418949502183
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,1,1,2.3750514934320357,2.381846019305981
20,4,Michael Sam,Michael Sam,Michael Sam,1,1,2.2871443376430194,2.2924073910880463
20,5,Suzanne Somers,Suzanne Somers,Suzanne Somers,1,1,2.1720745275189444,2.1757943655951304
20,6,Patti LaBelle,Patti LaBelle,Patti LaBelle,1,1,2.063698660552922,2.068241743029771
20,7,Willow Shields,Willow Shields,Willow Shields,1,1,1.9299369738325922,1.9279527647777646
20,8,Robert Herjavec,Robert Herjavec,Robert Herjavec,1,1,1.7646053873804224,1.7751581447163436
20,9,Nastia Liukin,Nastia Liukin,Nastia Liukin,1,1,1.36565213303362,1.3727636685299314
21,2,Victor Espinoza,Victor Espinoza,Victor Espinoza,1,1,2.553604979144549,2.555824014770688
21,4,Gary Busey,Gary Busey,Gary Busey,1,1,2.2771032101640594,2.2842310682329554
21,6,Paula Deen,Paula Deen,Paula Deen,1,1,2.170903901221263,2.174151626594495
21,7,Hayes Grier,Hayes Grier,Hayes Grier,1,1,2.0704910124913134,2.0696085820134966
21,8,Andy Grammer,Andy Grammer,Andy Grammer,1,1,1.9219334203391378,1.9294440418243437
21,9,Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,1,1,1.777646918965943,1.7780238299442248
21,11,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,1,1,1.3681973018677138,1.3643160040235687
22,2,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,1,1,2.4642793845047244,2.4695058244066628
22,3,Mischa Barton,Mischa Barton,Mischa Barton,1,1,2.384655751573225,2.3905631257430597
22,4,Marla Maples,Marla Maples,Doug Flutie,1,0,2.283852190278198,2.2913520211488048
22,6,Doug Flutie,Doug Flutie,Doug Flutie,1,1,2.1787371430779867,2.1839710980925546
22,7,Kim Fields,Kim Fields,Kim Fields,1,1,2.065888535382033,2.07277933551289
22,8,Jodie Sweetin,Jodie Sweetin,Jodie Sweetin,1,1,1.7766995573575615,1.7763040253929399
22,9,Antonio Brown,Antonio Brown,Antonio Brown,1,1,1.5909369499739996,1.596747913152667
23,2,Jake T. Austin,Jake T. Austin,Jake T. Austin,1,1,2.547274388831514,2.5546541828643954
23,3,Rick Perry,Rick Perry,Rick Perry,1,1,2.4656738495077883,2.473596776972922
23,4,Babyface,Babyface,Babyface,1,1,2.3746151170253036,2.3841516728794607
23,6,Amber Rose,Amber Rose,Amber Rose,1,1,2.1709152480486615,2.1803728345934412
23,7,Maureen McCormick,Maureen McCormick,Maureen McCormick,1,1,2.0612913436220603,2.0711523145704778
23,8,Ryan Lochte,Ryan Lochte,Ryan Lochte,1,1,1.9117444428471624,1.9228441312966322
23,9,Marilu Henner,Marilu Henner,Marilu Henner,1,1,1.7723646100985215,1.7779441397964466
23,10,Terra Jole,Terra Jole,Terra Jole,1,1,1.5921033172101753,1.593802424247059
23,11,Jana Kramer,Jana Kramer,Jana Kramer,1,1,1.3589031827645721,1.372907938887513
24,2,Chris Kattan,Chris Kattan,Chris Kattan,1,1,2.464525159310855,2.472878280899018
24,3,Charo,Charo,Charo,1,1,2.3797662140844866,2.385941340042279
24,4,Mr. T,Mr. T,Mr. T,1,1,2.2849741269541015,2.292278241624643
24,5,Erika Jayne,Erika Jayne,Erika Jayne,1,1,2.18318790138787,2.1867603909930318
24,6,Heather Morris,Heather Morris,Heather Morris,1,1,2.0638742880373195,2.0664056765817653
24,7,Nancy Kerrigan,Nancy Kerrigan,Nancy Kerrigan,1,1,1.921171576871304,1.9294412888286039
24,8,Bonner Bolton,Bonner Bolton,Bonner Bolton,1,1,1.5735606392805364,1.5895453443046563
24,9,Simone Biles,Simone Biles,Simone Biles,1,1,1.366559770093083,1.3570008036999222
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,1,1,2.5441879205926683,2.5547282395416517
25,4,Derek Fisher,Derek Fisher,Derek Fisher,1,1,2.3825389778628834,2.3914450402551113
25,5,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,1,1,2.284028563986897,2.2915460088635777
25,6,Nick Lachey,Nick Lachey,Nick Lachey,1,1,2.1707358460919437,2.1796614532831806
25,7,Nikki Bella,Nikki Bella,Nikki Bella,1,1,2.0590276834680825,2.0675257224759274
25,8,Terrell Owens,Terrell Owens,Terrell Owens,1,1,1.765273874927523,1.7760419942868018
25,9,Victoria Arlen,Victoria Arlen,Victoria Arlen,1,1,1.5881006509715263,1.595868772343702
25,10,Drew Scott,Drew Scott,Drew Scott,1,1,1.3616252603571033,1.3750157867636277
26,1,Jamie Anderson,Jamie Anderson,Jamie Anderson,1,1,2.290215585820076,2.295237860743146
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,1,1,2.0656909442968656,2.073669073856319
26,3,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle,1,1,1.769872283946239,1.780436264634001
27,1,Nikki Glaser,Nikki Glaser,Nikki Glaser,1,1,2.549631184390101,2.5541607437817784
27,2,Danelle Umstead,Danelle Umstead,Danelle Umstead,1,1,2.4672002440040934,2.4728539807523164
27,3,Nancy McKeon,Nancy McKeon,Nancy McKeon,1,1,2.378919856754073,2.3853914543591643
27,4,Tinashe,Joe Amabile,Joe Amabile,0,0,2.2857052626921863,2.2885374193388746
27,6,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,1,1,2.1727443079988227,2.1776970234424367
27,7,John Schneider,John Schneider,John Schneider,1,1,2.0630122776446598,2.068991975519742
27,8,Juan Pablo Di Pace,Juan Pablo Di Pace,Juan Pablo Di Pace,1,1,1.7765927712743592,1.777633185217979
28,2,Mary Wilson,Mary Wilson,Mary Wilson,1,1,2.4661605320957927,2.469567179606043
28,4,Lamar Odom,Lamar Odom,Lamar Odom,1,1,2.27741938956434,2.2854907792247214
28,6,Sailor Brinkley-Cook,Sailor Brinkley-Cook,Sailor Brinkley-Cook,1,1,2.187371074793939,2.183511869074881
28,7,Karamo Brown,Karamo Brown,Karamo Brown,1,1,2.0632673353245377,2.0678573251159076
28,8,Kate Flannery,Kate Flannery,Kate Flannery,1,1,1.9235171470630745,1.923981672264005
28,9,Sean Spicer,Sean Spicer,Sean Spicer,1,1,1.7576692128480587,1.7680537471904483
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,1,1,1.5843940364870817,1.5988353889257891
29,2,Charles Oakley,Charles Oakley,Charles Oakley,1,1,2.6928867338882956,2.6984093706295718
29,3,Carole Baskin,Carole Baskin,Carole Baskin,1,1,2.6195522532709283,2.6226884659783107
29,4,Anne Heche,Anne Heche,Anne Heche,1,1,2.555255408614409,2.5577270490781334
29,5,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,1,1,2.4692242945293588,2.473109436457458
29,6,Veron Davis,Veron Davis,Veron Davis,1,1,2.3798993059969997,2.3844795347145804
29,7,Monica Aldama,Monica Aldama,Monica Aldama,1,1,2.288388994635622,2.2910765033393883
29,8,Chrishell Stause,Chrishell Stause,Chrishell Stause,1,1,2.0680352112079254,2.0694938071971074
29,9,AJ McLean,AJ McLean,AJ McLean,1,1,1.9296872355908308,1.930570590254142
29,10,Skai Jackson,Skai Jackson,Skai Jackson,1,1,1.7768792252777637,1.7756364472417818
30,2,Martin Kove,Martin Kove,Martin Kove,1,1,2.689853556193321,2.692444126626514
30,3,Christine Chiu,Christine Chiu,Christine Chiu,1,1,2.629189961982847,2.631262675530062
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,1,1,2.553806311732799,2.5566839382015134
30,5,Melanie C,Melanie C,Melanie C,1,1,2.3904456386888486,2.390830581761138
30,6,Kenya Moore,Kenya Moore,Kenya Moore,1,1,2.2880691849140664,2.294226346099464
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",1,1,2.1809965653503958,2.184986075766055
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,1,1,2.062895251241698,2.0618068927107354
30,9,Melora Hardin,Melora Hardin,Melora Hardin,1,1,1.775156653209068,1.7798034017392559
31,1,Jason Lewis,Jason Lewis,Jason Lewis,1,1,2.755072147200728,2.757528253707698
31,2,Teresa Giudice,Teresa Giudice,Teresa Giudice,1,1,2.696779664588803,2.699103050576573
31,3,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd,1,1,2.6255177256211377,2.629623588493514
31,4,Sam Champion,Sam Champion,Sam Champion,1,1,2.5487163000842292,2.5539935116737014
31,5,Joseph Baena,Joseph Baena,Joseph Baena,1,1,2.4728828353229764,2.4766092865720077
31,6,Jessie James Decker,Jessie James Decker,Jessie James Decker,1,1,2.289487232606028,2.2942909679006416
31,7,Jordin Sparks,Jordin Sparks,Jordin Sparks,1,1,2.1831398283502192,2.1878052051583743
31,8,Heidi D'Amelio,Heidi D'Amelio,Heidi D'Amelio,1,1,2.058531140358754,2.0653451570389825
31,9,Trevor Donovan,Trevor Donovan,Trevor Donovan,1,1,1.768402703716935,1.7800886504141795
32,1,Matt Walsh,Matt Walsh,Matt Walsh,1,1,2.6065480366548854,2.6137864393748744
32,2,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,1,0,2.536271198094492,2.542694850922555
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,1,1,2.4554701070464238,2.464140424998769
32,4,Adrian Peterson,Adrian Peterson,Barry Williams,1,0,2.3750724456644243,2.3844394903242057
32,5,Mira Sorvino,Mira Sorvino,Harry Jowsey,1,0,2.2812726590541015,2.2876504105448254
32,6,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky,1,1,2.1705324101182977,2.180147318176486
32,7,Lele Pons,Lele Pons,Lele Pons,1,1,2.065200873811843,2.0708274674537823
32,8,Barry Williams,Barry Williams,Barry Williams,1,1,1.921639824140993,1.9279244915338507
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,1,1,1.7556620214993268,1.769198460011468
33,2,Tori Spelling,Tori Spelling,Tori Spelling,1,1,2.553175832322875,2.5559394546611602
33,3,Eric Roberts,Eric Roberts,Eric Roberts,1,1,2.379587807208549,2.3841328395359875
33,4,Brooks Nader,Brooks Nader,Brooks Nader,1,1,2.1812260152885035,2.190211852958031
33,5,Phaedra Parks,Phaedra Parks,Phaedra Parks,1,1,2.0615524902966724,2.0704050894483093
33,6,Jenn Tran,Jenn Tran,Jenn Tran,1,1,1.930990195984019,1.9341933868770778
33,7,Dwight Howard,Dwight Howard,Dwight Howard,1,1,1.7670757563836115,1.774685720779818
34,2,Corey Feldman,Corey Feldman,Corey Feldman,1,1,2.621842351426531,2.6283804011769343
34,3,Lauren Jauregui,Lauren Jauregui,Lauren Jauregui,1,1,2.4696699080789686,2.476499016696415
34,4,Hilaria Baldwin,Hilaria Baldwin,Andy Richter,1,0,2.383589883329848,2.3901531276191483
34,6,Scott Hoying,Scott Hoying,Scott Hoying,1,1,2.279301344519259,2.2861464634035804
34,7,Jen Affleck,Jen Affleck,Jen Affleck,1,1,2.1771773354765696,2.181384646845338
34,8,Danielle Fishel,Danielle Fishel,Danielle Fishel,1,1,2.06459087156908,2.069523580553212
34,9,Andy Richter,Andy Richter,Andy Richter,1,1,1.9205328774332424,1.920029264594289
34,10,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt,1,1,1.7778931661304873,1.7766999332208653
