season,week,celebrity_name,popularity_level,judge_score,judge_percentage,prior_votes,prior_percentage,estimated_votes,vote_percentage,combined_score,min_votes,max_votes,prior_consistency,confidence,confidence_level,is_eliminated,consistency_check
2,1,Master P,High,12.0,6.15,1025517,10.26,1086561,10.87,17.02,351282,10000000,94.0,41.5,Medium,False,True
2,1,Drew Lachey,High,24.0,12.31,1239539,12.4,1313322,13.13,25.44,0,10000000,94.0,47.6,Medium,False,True
2,1,Kenny Mayne,Medium,13.0,6.67,802579,8.03,255105,2.55,9.22,0,248717,31.8,63.8,High,True,True
2,2,Tatum O'Neal,High,17.0,8.5,1183195,11.83,387012,3.87,12.37,0,283333,32.7,65.8,High,True,True
2,2,Tia Carrere,Low,22.0,11.0,683371,6.83,745081,7.45,18.45,83333,10000000,91.0,40.7,Medium,False,True
2,2,George Hamilton,High,22.0,11.0,1269118,12.69,1383723,13.84,24.84,83333,10000000,91.0,45.5,Medium,False,True
2,2,Lisa Rinna,Low,20.0,10.0,664864,6.65,724904,7.25,17.25,183333,10000000,91.0,39.9,Medium,False,True
2,2,Stacy Keibler,High,29.0,14.5,1389411,13.89,1514878,15.15,29.65,0,10000000,91.0,49.0,Medium,False,True
2,2,Jerry Rice,High,23.0,11.5,1286303,12.86,1402460,14.02,25.52,33333,10000000,91.0,46.0,Medium,False,True
2,2,Giselle Fernandez,Medium,24.0,12.0,1002682,10.03,1093228,10.93,22.93,0,10000000,91.0,44.0,Medium,False,True
2,2,Master P,High,16.0,8.0,1166010,11.66,1271304,12.71,20.71,383333,10000000,91.0,42.6,Medium,False,True
2,2,Drew Lachey,High,27.0,13.5,1355041,13.55,1477405,14.77,28.27,0,10000000,91.0,48.0,Medium,False,True
2,3,Tia Carrere,Low,26.0,14.29,813713,8.14,881116,8.81,23.1,155219,10000000,91.7,43.6,Medium,False,True
2,3,George Hamilton,High,22.0,12.09,1462878,14.63,1584056,15.84,27.93,375000,10000000,91.7,47.4,Medium,False,True
2,3,Lisa Rinna,Low,25.0,13.74,795547,7.96,861446,8.61,22.35,210164,10000000,91.7,43.1,Medium,False,True
2,3,Stacy Keibler,High,27.0,14.84,1605304,16.05,1738279,17.38,32.22,100274,10000000,91.7,50.4,Medium,False,True
2,3,Jerry Rice,High,19.0,10.44,1377420,13.77,1491518,14.92,25.35,539835,10000000,91.7,45.6,Medium,False,True
2,3,Giselle Fernandez,Medium,22.0,12.09,1092831,10.93,355006,3.55,15.64,0,0,32.5,69.2,High,True,True
2,3,Master P,High,14.0,7.69,1307011,13.07,1415277,14.15,21.85,814560,10000000,91.7,43.2,Medium,False,True
2,3,Drew Lachey,High,27.0,14.84,1545293,15.45,1673297,16.73,31.57,100274,10000000,91.7,49.9,Medium,False,True
2,4,Tia Carrere,Low,25.0,15.82,937625,9.38,1033503,10.34,26.16,0,10000000,89.8,51.5,Medium,False,True
2,4,George Hamilton,High,21.0,13.29,1630449,16.3,1797173,17.97,31.26,0,10000000,89.8,55.3,High,False,True
2,4,Lisa Rinna,Low,26.0,16.46,949698,9.5,1046810,10.47,26.92,0,10000000,89.8,52.0,Medium,False,True
2,4,Stacy Keibler,High,26.0,16.46,1752419,17.52,1931615,19.32,35.77,0,10000000,89.8,56.4,High,False,True
2,4,Jerry Rice,High,24.0,15.19,1630736,16.31,1797489,17.97,33.16,0,10000000,89.8,56.4,High,False,True
2,4,Master P,High,8.0,5.06,1325285,13.25,438241,4.38,9.45,0,1251356,33.1,64.6,High,True,True
2,4,Drew Lachey,High,28.0,17.72,1773785,17.74,1955166,19.55,37.27,0,10000000,89.8,56.4,High,False,True
2,5,Tia Carrere,Low,22.0,14.57,1021714,10.22,330124,3.3,17.87,0,566225,32.3,69.5,High,True,True
2,5,George Hamilton,High,24.0,15.89,1925511,19.26,2073831,20.74,36.63,367549,10000000,92.3,55.6,High,False,True
2,5,Lisa Rinna,Low,25.0,16.56,1070024,10.7,1152447,11.52,28.08,301324,10000000,92.3,49.2,Medium,False,True
2,5,Stacy Keibler,High,30.0,19.87,2075345,20.75,2235207,22.35,42.22,0,10000000,92.3,58.8,High,False,True
2,5,Jerry Rice,High,23.0,15.23,1902234,19.02,2048761,20.49,35.72,433774,10000000,92.3,55.0,High,False,True
2,5,Drew Lachey,High,27.0,17.88,2005170,20.05,2159627,21.6,39.48,168874,10000000,92.3,57.6,High,False,True
2,6,George Hamilton,High,23.0,17.29,2123816,21.24,748408,7.48,24.78,0,600000,35.2,72.2,High,True,True
2,6,Lisa Rinna,Low,27.0,20.3,1197367,11.97,1406462,14.06,34.37,299248,10000000,82.5,47.4,Medium,False,True
2,6,Stacy Keibler,High,30.0,22.56,2316539,23.17,2721073,27.21,49.77,73684,10000000,82.5,57.5,High,False,True
2,6,Jerry Rice,High,23.0,17.29,2090631,20.91,2455715,24.56,41.85,600000,10000000,82.5,53.2,Medium,False,True
2,6,Drew Lachey,High,30.0,22.56,2271645,22.72,2668339,26.68,49.24,73684,10000000,82.5,57.5,High,False,True
2,7,Lisa Rinna,Low,26.5,25.98,1552988,15.53,522721,5.23,31.21,0,161764,33.7,76.0,High,True,True
2,7,Stacy Keibler,High,27.5,26.96,2917658,29.18,3273520,32.74,59.7,651960,10000000,87.8,61.1,High,False,True
2,7,Jerry Rice,High,20.5,20.1,2630639,26.31,2951494,29.51,49.61,1338235,10000000,87.8,57.9,High,False,True
2,7,Drew Lachey,High,27.5,26.96,2898712,28.99,3252263,32.52,59.48,651960,10000000,87.8,61.1,High,False,True
3,1,Harry Hamlin,High,17.0,8.02,1019715,10.2,1073924,10.74,18.76,36878,10000000,94.7,42.5,Medium,False,True
3,1,Vivica A. Fox,High,22.0,10.38,1101990,11.02,1160573,11.61,21.98,0,10000000,94.7,44.9,Medium,False,True
3,1,Monique Coleman,Low,19.0,8.96,566798,5.67,596929,5.97,14.93,0,10000000,94.7,39.6,Medium,False,True
3,1,Joey Lawrence,High,21.0,9.91,1085535,10.86,1143243,11.43,21.34,0,10000000,94.7,44.5,Medium,False,True
3,1,Mario Lopez,High,26.0,12.26,1167810,11.68,1229892,12.3,24.56,0,10000000,94.7,46.9,Medium,False,True
3,1,Emmitt Smith,High,24.0,11.32,1134900,11.35,1195233,11.95,23.27,0,10000000,94.7,45.9,Medium,False,True
3,1,Shanna Moakler,Medium,18.0,8.49,797054,7.97,839426,8.39,16.88,0,10000000,94.7,41.1,Medium,False,True
3,1,Willa Ford,High,22.0,10.38,1101990,11.02,1160573,11.61,21.98,0,10000000,94.7,44.9,Medium,False,True
3,1,Sara Evans,Low,15.0,7.08,531356,5.31,559604,5.6,12.67,131217,10000000,94.7,38.1,Medium,False,True
3,1,Jerry Springer,Medium,16.0,7.55,771738,7.72,812765,8.13,15.67,84048,10000000,94.7,40.3,Medium,False,True
3,1,Tucker Carlson,Medium,12.0,5.66,721107,7.21,227832,2.28,7.94,0,414236,31.6,61.4,High,True,True
3,2,Harry Hamlin,High,21.0,9.13,1129251,11.29,1203405,12.03,21.16,343478,10000000,93.4,42.1,Medium,False,True
3,2,Vivica A. Fox,High,24.0,10.43,1174622,11.75,1251756,12.52,22.95,213043,10000000,93.4,43.3,Medium,False,True
3,2,Monique Coleman,Low,26.0,11.3,648776,6.49,691379,6.91,18.22,126086,10000000,93.4,39.7,Medium,False,True
3,2,Joey Lawrence,High,29.0,12.61,1250242,12.5,1332341,13.32,25.93,0,10000000,93.4,45.4,Medium,False,True
3,2,Mario Lopez,High,21.0,9.13,1129251,11.29,1203405,12.03,21.16,343478,10000000,93.4,42.1,Medium,False,True
3,2,Emmitt Smith,High,24.0,10.43,1174622,11.75,1251756,12.52,22.95,213043,10000000,93.4,43.3,Medium,False,True
3,2,Shanna Moakler,Medium,22.0,9.57,880288,8.8,281428,2.81,12.38,0,169565,32.0,64.3,High,True,True
3,2,Willa Ford,High,23.0,10.0,1159498,11.59,1235639,12.36,22.36,256521,10000000,93.4,42.9,Medium,False,True
3,2,Sara Evans,Low,21.0,9.13,608058,6.08,647987,6.48,15.61,343478,10000000,93.4,37.9,Medium,False,True
3,2,Jerry Springer,Medium,19.0,8.26,845387,8.45,900900,9.01,17.27,430434,10000000,93.4,39.2,Medium,False,True
3,3,Harry Hamlin,High,22.0,10.63,1281227,12.81,422237,4.22,14.85,0,188405,33.0,66.4,High,True,True
3,3,Vivica A. Fox,High,27.0,13.04,1339623,13.4,1471605,14.72,27.76,91787,10000000,90.1,45.6,Medium,False,True
3,3,Monique Coleman,Low,27.0,13.04,756695,7.57,831246,8.31,21.36,91787,10000000,90.1,40.8,Medium,False,True
3,3,Joey Lawrence,High,22.0,10.63,1330505,13.31,1461589,14.62,25.24,333333,10000000,90.1,43.9,Medium,False,True
3,3,Mario Lopez,High,22.0,10.63,1170352,11.7,1285657,12.86,23.48,333333,10000000,90.1,42.6,Medium,False,True
3,3,Emmitt Smith,High,19.0,9.18,1183105,11.83,1299667,13.0,22.18,478260,10000000,90.1,41.7,Medium,False,True
3,3,Willa Ford,High,22.0,10.63,1244269,12.44,1366857,13.67,24.3,333333,10000000,90.1,43.2,Medium,False,True
3,3,Sara Evans,Low,25.0,12.08,731037,7.31,803060,8.03,20.11,188405,10000000,90.1,39.9,Medium,False,True
3,3,Jerry Springer,Medium,21.0,10.14,963183,9.63,1058078,10.58,20.73,381642,10000000,90.1,40.5,Medium,False,True
3,4,Vivica A. Fox,High,24.0,12.12,1473188,14.73,492772,4.93,17.05,0,172979,33.4,68.5,High,True,True
3,4,Monique Coleman,Low,24.0,12.12,808608,8.09,901582,9.02,21.14,375000,10000000,88.5,40.3,Medium,False,True
3,4,Joey Lawrence,High,27.0,13.64,1487837,14.88,1658909,16.59,30.23,223484,10000000,88.5,47.0,Medium,False,True
3,4,Mario Lopez,High,29.0,14.65,1472520,14.73,1641831,16.42,31.06,122474,10000000,88.5,47.6,Medium,False,True
3,4,Emmitt Smith,High,24.0,12.12,1378144,13.78,1536603,15.37,27.49,375000,10000000,88.5,45.1,Medium,False,True
3,4,Willa Ford,High,28.0,14.14,1495423,14.95,1667368,16.67,30.82,172979,10000000,88.5,47.4,Medium,False,True
3,4,Sara Evans,Low,20.0,10.1,778778,7.79,868322,8.68,18.78,577020,10000000,88.5,38.7,Medium,False,True
3,4,Jerry Springer,Medium,22.0,11.11,1105497,11.05,1232608,12.33,23.44,476010,10000000,88.5,42.1,Medium,False,True
3,5,Monique Coleman,Low,27.0,14.92,935242,9.35,1065408,10.65,25.57,428571,10000000,86.1,41.7,Medium,False,True
3,5,Joey Lawrence,High,25.0,13.81,1705381,17.05,1942734,19.43,33.24,539068,10000000,86.1,47.5,Medium,False,True
3,5,Mario Lopez,High,27.0,14.92,1719933,17.2,1959311,19.59,34.51,428571,10000000,86.1,48.4,Medium,False,True
3,5,Emmitt Smith,High,27.0,14.92,1694515,16.95,1930356,19.3,34.22,428571,10000000,86.1,48.2,Medium,False,True
3,5,Willa Ford,High,27.0,14.92,1745351,17.45,596480,5.96,20.88,0,262825,34.2,70.1,High,True,True
3,5,Sara Evans,Low,24.0,13.26,903115,9.03,1028810,10.29,23.55,594317,10000000,86.1,40.3,Medium,False,True
3,5,Jerry Springer,Medium,24.0,13.26,1296458,12.96,1476898,14.77,28.03,594317,10000000,86.1,43.6,Medium,False,True
3,7,Monique Coleman,Low,27.0,20.0,1254253,12.54,1423771,14.24,34.24,303703,10000000,86.5,49.9,Medium,False,True
3,7,Joey Lawrence,High,28.5,21.11,2360360,23.6,2679372,26.79,47.9,192592,10000000,86.5,58.8,High,False,True
3,7,Mario Lopez,High,28.0,20.74,2339714,23.4,2655936,26.56,47.3,229629,10000000,86.5,58.8,High,False,True
3,7,Emmitt Smith,High,28.5,21.11,2344780,23.45,2661687,26.62,47.73,192592,10000000,86.5,58.8,High,False,True
3,7,Jerry Springer,Medium,23.0,17.04,1700891,17.01,579232,5.79,22.83,0,896296,34.1,70.1,High,True,True
3,8,Monique Coleman,Low,26.5,24.31,1519619,15.2,510152,5.1,29.41,0,795871,33.6,72.3,High,True,True
3,8,Joey Lawrence,High,27.0,24.77,2833851,28.34,3171180,31.71,56.48,704128,10000000,88.1,61.3,High,False,True
3,8,Mario Lopez,High,28.5,26.15,2836458,28.36,3174097,31.74,57.89,566513,10000000,88.1,61.2,High,False,True
3,8,Emmitt Smith,High,27.0,24.77,2810070,28.1,3144569,31.45,56.22,704128,10000000,88.1,61.3,High,False,True
4,2,John Ratzenberger,Low,21.0,8.57,606955,6.07,646175,6.46,15.03,272727,10000000,93.5,37.0,Medium,False,True
4,2,Ian Ziering,Low,22.0,8.98,615273,6.15,655030,6.55,15.53,231910,10000000,93.5,37.4,Medium,False,True
4,2,Clyde Drexler,High,18.0,7.35,1080860,10.81,1150702,11.51,18.85,395176,10000000,93.5,40.0,Medium,False,True
4,2,Laila Ali,High,27.0,11.02,1219888,12.2,1298714,12.99,24.01,27829,10000000,93.5,43.6,Medium,False,True
4,2,Apolo Anton Ohno,High,26.0,10.61,1204440,12.04,1282268,12.82,23.43,68645,10000000,93.5,43.2,Medium,False,True
4,2,Shandi Finnessey,Medium,20.0,8.16,855196,8.55,910457,9.1,17.27,313543,10000000,93.5,38.7,Medium,False,True
4,2,Paulina Porizkova,Medium,21.0,8.57,867079,8.67,276932,2.77,11.34,0,150278,31.9,63.1,High,True,True
4,2,Heather Mills,Medium,24.0,9.8,902727,9.03,961059,9.61,19.41,150278,10000000,93.5,40.2,Medium,False,True
4,2,Billy Ray Cyrus,Low,21.0,8.57,606955,6.07,646175,6.46,15.03,272727,10000000,93.5,37.0,Medium,False,True
4,2,Joey Fatone,High,24.0,9.8,1173545,11.74,1249377,12.49,22.29,150278,10000000,93.5,42.4,Medium,False,True
4,2,Leeza Gibbons,Medium,21.0,8.57,867079,8.67,923107,9.23,17.8,272727,10000000,93.5,39.1,Medium,False,True
4,3,John Ratzenberger,Low,20.0,9.17,666429,6.66,713242,7.13,16.31,345871,10000000,93.0,38.1,Medium,False,True
4,3,Ian Ziering,Low,24.0,11.01,683736,6.84,731765,7.32,18.33,162385,10000000,93.0,39.5,Medium,False,True
4,3,Clyde Drexler,High,16.0,7.34,1145339,11.45,1225792,12.26,19.6,529357,10000000,93.0,40.7,Medium,False,True
4,3,Laila Ali,High,21.0,9.63,1255119,12.55,1343284,13.43,23.07,300000,10000000,93.0,43.1,Medium,False,True
4,3,Apolo Anton Ohno,High,23.0,10.55,1302453,13.02,1393943,13.94,24.49,208256,10000000,93.0,44.1,Medium,False,True
4,3,Shandi Finnessey,Medium,21.0,9.63,937626,9.38,301046,3.01,12.64,0,70642,32.1,65.0,High,True,True
4,3,Heather Mills,Medium,24.0,11.01,1025121,10.25,1097130,10.97,21.98,162385,10000000,93.0,42.2,Medium,False,True
4,3,Billy Ray Cyrus,Low,21.0,9.63,701827,7.02,751126,7.51,17.14,300000,10000000,93.0,38.7,Medium,False,True
4,3,Joey Fatone,High,24.0,11.01,1257224,12.57,1345537,13.46,24.46,162385,10000000,93.0,44.1,Medium,False,True
4,3,Leeza Gibbons,Medium,24.0,11.01,1025121,10.25,1097130,10.97,21.98,162385,10000000,93.0,42.2,Medium,False,True
4,4,John Ratzenberger,Low,16.0,8.42,697253,6.97,751723,7.52,15.94,333333,10000000,92.2,39.8,Medium,False,True
4,4,Ian Ziering,Low,24.0,12.63,782728,7.83,843875,8.44,21.07,0,10000000,92.2,43.4,Medium,False,True
4,4,Clyde Drexler,High,15.0,7.89,1250056,12.5,1347711,13.48,21.37,385964,10000000,92.2,43.9,Medium,False,True
4,4,Laila Ali,High,21.0,11.05,1348553,13.49,1453902,14.54,25.59,70175,10000000,92.2,46.9,Medium,False,True
4,4,Apolo Anton Ohno,High,26.0,13.68,1483563,14.84,1599460,15.99,29.68,0,10000000,92.2,49.9,Medium,False,True
4,4,Heather Mills,Medium,23.0,12.11,1124546,11.25,1212396,12.12,24.23,0,10000000,92.2,45.8,Medium,False,True
4,4,Billy Ray Cyrus,Low,21.0,11.05,775207,7.75,835767,8.36,19.41,70175,10000000,92.2,42.2,Medium,False,True
4,4,Joey Fatone,High,28.0,14.74,1502950,15.03,1620360,16.2,30.94,0,10000000,92.2,50.8,Medium,False,True
4,4,Leeza Gibbons,Medium,16.0,8.42,1035138,10.35,334801,3.35,11.77,0,280701,32.3,65.7,High,True,True
4,5,John Ratzenberger,Low,18.0,10.23,778109,7.78,858707,8.59,18.81,90909,10000000,89.6,42.6,Medium,False,True
4,5,Ian Ziering,Low,24.0,13.64,862439,8.62,951772,9.52,23.15,0,10000000,89.6,45.8,Medium,False,True
4,5,Clyde Drexler,High,13.0,7.39,1340849,13.41,443921,4.44,11.83,0,602272,33.1,65.9,High,True,True
4,5,Laila Ali,High,28.0,15.91,1645174,16.45,1815583,18.16,34.06,0,10000000,89.6,54.0,Medium,False,True
4,5,Apolo Anton Ohno,High,30.0,17.05,1746278,17.46,1927160,19.27,36.32,0,10000000,89.6,54.8,Medium,False,True
4,5,Heather Mills,Medium,21.0,11.93,1194647,11.95,1318391,13.18,25.12,0,10000000,89.6,47.3,Medium,False,True
4,5,Billy Ray Cyrus,Low,17.0,9.66,801570,8.02,884598,8.85,18.51,147727,10000000,89.6,42.4,Medium,False,True
4,5,Joey Fatone,High,25.0,14.2,1630930,16.31,1799864,18.0,32.2,0,10000000,89.6,52.6,Medium,False,True
4,6,John Ratzenberger,Low,19.0,11.18,914221,9.14,1012452,10.12,21.3,663865,10000000,89.3,41.6,Medium,False,True
4,6,Ian Ziering,Low,24.0,14.12,982399,9.82,1087954,10.88,25.0,369747,10000000,89.3,44.2,Medium,False,True
4,6,Laila Ali,High,28.0,16.47,1930061,19.3,2137440,21.37,37.84,134453,10000000,89.3,53.7,Medium,False,True
4,6,Apolo Anton Ohno,High,28.0,16.47,1960337,19.6,2170969,21.71,38.18,134453,10000000,89.3,53.9,Medium,False,True
4,6,Heather Mills,Medium,23.0,13.53,1386029,13.86,460486,4.6,18.13,0,193277,33.2,70.2,High,True,True
4,6,Billy Ray Cyrus,Low,21.0,12.35,949602,9.5,1051633,10.52,22.87,546218,10000000,89.3,42.7,Medium,False,True
4,6,Joey Fatone,High,27.0,15.88,1877348,18.77,2079063,20.79,36.67,193277,10000000,89.3,52.8,Medium,False,True
4,7,John Ratzenberger,Low,22.5,14.56,1101177,11.01,357944,3.58,18.14,0,273462,32.5,71.3,High,True,True
4,7,Ian Ziering,Low,27.0,17.48,1165025,11.65,1262329,12.62,30.1,208737,10000000,91.6,50.2,Medium,False,True
4,7,Laila Ali,High,29.5,19.09,2240424,22.4,2427545,24.28,43.37,46925,10000000,91.6,58.6,High,False,True
4,7,Apolo Anton Ohno,High,27.0,17.48,2192181,21.92,2375273,23.75,41.23,208737,10000000,91.6,58.6,High,False,True
4,7,Billy Ray Cyrus,Low,19.0,12.3,1075458,10.75,1165280,11.65,23.95,726537,10000000,91.6,46.0,Medium,False,True
4,7,Joey Fatone,High,29.5,19.09,2225732,22.26,2411626,24.12,43.21,46925,10000000,91.6,58.6,High,False,True
4,8,Ian Ziering,Low,23.5,18.73,1282144,12.82,1400988,14.01,32.73,241434,10000000,90.7,52.8,Medium,False,True
4,8,Laila Ali,High,26.5,21.12,2471635,24.72,2700735,27.01,48.12,2390,10000000,90.7,59.9,High,False,True
4,8,Apolo Anton Ohno,High,29.0,23.11,2540704,25.41,2776207,27.76,50.87,0,10000000,90.7,59.9,High,False,True
4,8,Billy Ray Cyrus,Low,19.0,15.14,1211839,12.12,397250,3.97,19.11,0,958565,32.8,69.3,High,True,True
4,8,Joey Fatone,High,27.5,21.91,2493675,24.94,2724818,27.25,49.16,0,10000000,90.7,59.9,High,False,True
4,9,Ian Ziering,Low,29.0,24.47,1502951,15.03,503899,5.04,29.51,0,792194,33.5,72.3,High,True,True
4,9,Laila Ali,High,30.0,25.32,2826647,28.27,3158994,31.59,56.91,665611,10000000,88.2,61.3,High,False,True
4,9,Apolo Anton Ohno,High,29.5,24.89,2843753,28.44,3178112,31.78,56.68,707805,10000000,88.2,61.3,High,False,True
4,9,Joey Fatone,High,30.0,25.32,2826647,28.27,3158994,31.59,56.91,665611,10000000,88.2,61.3,High,False,True
5,1,Cameron Mathison,Low,21.0,8.17,552466,5.52,582374,5.82,13.99,55447,10000000,94.6,38.5,Medium,False,True
5,1,Jane Seymour,Low,24.0,9.34,575819,5.76,606991,6.07,15.41,0,10000000,94.6,39.5,Medium,False,True
5,1,Sabrina Bryan,High,26.0,10.12,1098291,10.98,1157747,11.58,21.69,0,10000000,94.6,44.2,Medium,False,True
5,1,Jennie Garth,Low,21.0,8.17,552466,5.52,582374,5.82,13.99,55447,10000000,94.6,38.5,Medium,False,True
5,1,Floyd Mayweather Jr. ,High,18.0,7.0,982639,9.83,1035834,10.36,17.36,172178,10000000,94.6,41.1,Medium,False,True
5,1,Josie Maran,Medium,16.0,6.23,733636,7.34,232005,2.32,8.55,0,327821,31.6,61.9,High,True,True
5,1,Albert Reed,Medium,21.0,8.17,789237,7.89,831963,8.32,16.49,55447,10000000,94.6,40.4,Medium,False,True
5,1,Helio Castroneves,Medium,25.0,9.73,833719,8.34,878852,8.79,18.52,0,10000000,94.6,41.9,Medium,False,True
5,1,Mel B,High,24.0,9.34,1069378,10.69,1127269,11.27,20.61,0,10000000,94.6,43.4,Medium,False,True
5,1,Wayne Newton,High,19.0,7.39,997096,9.97,1051073,10.51,17.9,133268,10000000,94.6,41.5,Medium,False,True
5,1,Marie Osmond,High,21.0,8.17,1026009,10.26,1081551,10.82,18.99,55447,10000000,94.6,42.2,Medium,False,True
5,1,Mark Cuban,Medium,21.0,8.17,789237,7.89,831963,8.32,16.49,55447,10000000,94.6,40.4,Medium,False,True
5,2,Cameron Mathison,Low,21.0,8.82,597539,5.98,635513,6.36,15.18,272727,10000000,93.6,37.0,Medium,False,True
5,2,Jane Seymour,Low,21.0,8.82,597539,5.98,635513,6.36,15.18,272727,10000000,93.6,37.0,Medium,False,True
5,2,Sabrina Bryan,High,26.0,10.92,1187334,11.87,1262791,12.63,23.55,62643,10000000,93.6,43.1,Medium,False,True
5,2,Jennie Garth,Low,21.0,8.82,597539,5.98,635513,6.36,15.18,272727,10000000,93.6,37.0,Medium,False,True
5,2,Floyd Mayweather Jr. ,High,21.0,8.82,1109715,11.1,1180239,11.8,20.63,272727,10000000,93.6,41.1,Medium,False,True
5,2,Albert Reed,Medium,21.0,8.82,853627,8.54,272363,2.72,11.55,0,20626,31.9,63.8,High,True,True
5,2,Helio Castroneves,Medium,27.0,11.34,925275,9.25,984078,9.84,21.19,20626,10000000,93.6,41.3,Medium,False,True
5,2,Mel B,High,23.0,9.66,1140763,11.41,1213260,12.13,21.8,188693,10000000,93.6,41.9,Medium,False,True
5,2,Wayne Newton,High,15.0,6.3,1016573,10.17,1081177,10.81,17.11,524828,10000000,93.6,38.7,Medium,False,True
5,2,Marie Osmond,High,24.0,10.08,1156287,11.56,1229770,12.3,22.38,146676,10000000,93.6,42.3,Medium,False,True
5,2,Mark Cuban,Medium,18.0,7.56,817803,8.18,869776,8.7,16.26,398777,10000000,93.6,37.9,Medium,False,True
5,3,Cameron Mathison,Low,23.0,9.62,654921,6.55,709208,7.09,16.72,90794,10000000,91.7,39.0,Medium,False,True
5,3,Jane Seymour,Low,27.0,11.3,667535,6.68,722867,7.23,18.53,0,10000000,91.7,40.3,Medium,False,True
5,3,Sabrina Bryan,High,27.0,11.3,1278049,12.78,1383987,13.84,25.14,0,10000000,91.7,45.3,Medium,False,True
5,3,Jennie Garth,Low,26.0,10.88,679865,6.8,736220,7.36,18.24,0,10000000,91.7,40.1,Medium,False,True
5,3,Floyd Mayweather Jr. ,High,21.0,8.79,1220961,12.21,1322168,13.22,22.01,174476,10000000,91.7,43.0,Medium,False,True
5,3,Helio Castroneves,Medium,24.0,10.04,966430,9.66,1046538,10.47,20.51,48953,10000000,91.7,41.8,Medium,False,True
5,3,Mel B,High,27.0,11.3,1265268,12.65,1370148,13.7,25.0,0,10000000,91.7,45.1,Medium,False,True
5,3,Wayne Newton,High,18.0,7.53,1093512,10.94,355246,3.55,11.08,0,383682,32.5,63.3,High,True,True
5,3,Marie Osmond,High,26.0,10.88,1300486,13.0,1408284,14.08,24.96,0,10000000,91.7,45.1,Medium,False,True
5,3,Mark Cuban,Medium,20.0,8.37,872968,8.73,945329,9.45,17.82,216317,10000000,91.7,39.9,Medium,False,True
5,4,Cameron Mathison,Low,27.0,11.54,760567,7.61,840390,8.4,19.94,162393,10000000,89.5,40.0,Medium,False,True
5,4,Jane Seymour,Low,26.0,11.11,756838,7.57,836270,8.36,19.47,205128,10000000,89.5,39.7,Medium,False,True
5,4,Sabrina Bryan,High,30.0,12.82,1451208,14.51,1603515,16.04,28.86,34188,10000000,89.5,46.6,Medium,False,True
