season,week,name,pct_position,rank_position,delta_R,rank_favored,pct_favored
9,6,Donny Osmond,3,5,-2,False,True
9,9,Joanna Krupa,4,2,2,True,False
10,2,Jake Pavelka,7,9,-2,False,True
10,3,Chad Ochocinco,3,5,-2,False,True
10,5,Niecy Nash,6,4,2,True,False
10,5,Erin Andrews,4,6,-2,False,True
11,1,Florence Henderson,11,9,2,True,False
11,2,Rick Fox,4,2,2,True,False
11,2,Brandy,2,4,-2,False,True
11,3,Jennifer Grey,3,1,2,True,False
11,3,Brandy,1,3,-2,False,True
11,5,Florence Henderson,8,6,2,True,False
11,6,Audrina Patridge,7,4,3,True,False
11,6,Bristol Palin,5,7,-2,False,True
12,3,Ralph Macchio,6,4,2,True,False
13,2,Elisabetta Canalis,11,8,3,True,False
13,2,Rob Kardashian,5,7,-2,False,True
13,3,Kristin Cavallari,10,8,2,True,False
13,4,David Arquette,2,4,-2,False,True
13,4,Chynna Phillips,9,7,2,True,False
14,2,Roshon Fegan,8,5,3,True,False
14,3,Gavin DeGraw,5,7,-2,False,True
14,4,Roshon Fegan,7,5,2,True,False
14,4,Melissa Gilbert,6,8,-2,False,True
14,8,William Levy,3,1,2,True,False
14,8,Donald Driver,4,2,2,True,False
14,8,Maria Menounos,1,4,-3,False,True
14,9,Katherine Jenkins,1,3,-2,False,True
15,1,Apolo Anton Ohno,7,5,2,True,False
15,1,Emmitt Smith,4,2,2,True,False
15,1,Shawn Johnson,6,4,2,True,False
15,1,Joey Fatone,3,6,-3,False,True
15,1,Drew Lachey,5,7,-2,False,True
15,1,Melissa Rycroft,9,11,-2,False,True
15,2,Sabrina Bryan,5,3,2,True,False
15,2,Kelly Monaco,2,5,-3,False,True
15,2,Apolo Anton Ohno,6,4,2,True,False
15,2,Joey Fatone,12,10,2,True,False
15,2,Drew Lachey,4,6,-2,False,True
15,3,Emmitt Smith,5,8,-3,False,True
15,3,Helio Castroneves,11,9,2,True,False
15,3,Drew Lachey,4,6,-2,False,True
15,3,Melissa Rycroft,7,4,3,True,False
15,4,Apolo Anton Ohno,5,7,-2,False,True
15,6,Gilles Marini,4,2,2,True,False
15,6,Sabrina Bryan,8,5,3,True,False
15,6,Kelly Monaco,1,3,-2,False,True
15,6,Emmitt Smith,6,8,-2,False,True
15,8,Gilles Marini,7,5,2,True,False
15,8,Shawn Johnson,4,6,-2,False,True
15,9,Emmitt Smith,3,5,-2,False,True
16,4,Zendaya,4,2,2,True,False
16,5,Ingo Rademacher,7,4,3,True,False
16,5,Alexandra Raisman,4,6,-2,False,True
16,5,Sean Lowe,5,7,-2,False,True
17,4,Christina Milian,3,5,-2,False,True
17,5,Corbin Bleu,4,1,3,True,False
17,5,Amber Riley,1,4,-3,False,True
17,5,Christina Milian,9,6,3,True,False
17,7,Elizabeth Berkley Lauren,2,4,-2,False,True
17,9,Elizabeth Berkley Lauren,6,4,2,True,False
17,9,Amber Riley,1,3,-2,False,True
18,2,James Maslow,4,1,3,True,False
18,5,Candace Cameron Bure,3,5,-2,False,True
18,6,Candace Cameron Bure,3,5,-2,False,True
18,8,Danica McKellar,6,4,2,True,False
18,8,Meryl Davis,4,6,-2,False,True
18,9,Candace Cameron Bure,2,4,-2,False,True
19,1,Janel Parrish,2,5,-3,False,True
19,1,Bethany Mota,5,2,3,True,False
19,3,Tommy Chong,8,6,2,True,False
19,4,Michael Waltrip,8,10,-2,False,True
19,6,Jonathan Bennett,9,7,2,True,False
20,2,Suzanne Somers,8,6,2,True,False
20,2,Robert Herjavec,9,11,-2,False,True
20,2,Redfoo,12,8,4,True,False
20,2,Patti LaBelle,7,9,-2,False,True
20,5,Suzanne Somers,9,7,2,True,False
20,6,Willow Shields,5,2,3,True,False
20,6,Rumer Willis,2,4,-2,False,True
20,6,Chris Soules,3,5,-2,False,True
20,7,Willow Shields,7,5,2,True,False
21,2,Andy Grammer,4,6,-2,False,True
21,2,Paula Deen,11,13,-2,False,True
21,7,Carlos PenaVega,6,2,4,True,False
21,7,Andy Grammer,3,1,2,True,False
21,7,Tamar Braxton,1,3,-2,False,True
21,7,Nick Carter,2,6,-4,False,True
21,9,Alexa PenaVega,6,3,3,True,False
21,9,Tamar Braxton,2,5,-3,False,True
21,11,Carlos PenaVega,4,2,2,True,False
22,2,Mischa Barton,11,8,3,True,False
22,3,Antonio Brown,7,9,-2,False,True
22,7,Von Miller,3,5,-2,False,True
22,7,Antonio Brown,4,7,-3,False,True
22,7,Nyle DiMarco,7,3,4,True,False
22,7,Ginger Zee,6,4,2,True,False
22,8,Jodie Sweetin,6,3,3,True,False
22,8,Wanya Morris,2,4,-2,False,True
23,2,Jana Kramer,2,4,-2,False,True
23,2,Terra Jole,4,1,3,True,False
23,4,Calvin Johnson Jr.,4,2,2,True,False
23,4,James Hinchcliffe,2,5,-3,False,True
23,4,Jana Kramer,6,8,-2,False,True
23,6,Marilu Henner,5,3,2,True,False
23,6,Ryan Lochte,6,4,2,True,False
23,6,Laurie Hernandez,4,6,-2,False,True
23,6,James Hinchcliffe,3,5,-2,False,True
23,7,Laurie Hernandez,6,4,2,True,False
23,8,Laurie Hernandez,4,2,2,True,False
23,8,James Hinchcliffe,1,3,-2,False,True
23,8,Terra Jole,5,7,-2,False,True
23,10,Laurie Hernandez,3,1,2,True,False
23,10,Jana Kramer,1,3,-2,False,True
24,2,Nancy Kerrigan,8,5,3,True,False
24,2,Simone Biles,9,6,3,True,False
24,2,Erika Jayne,5,8,-3,False,True
24,2,Nick Viall,7,9,-2,False,True
24,4,David Ross,4,2,2,True,False
24,4,Rashad Jennings,1,3,-2,False,True
24,6,Heather Morris,8,4,4,True,False
24,6,Nick Viall,6,8,-2,False,True
24,7,Simone Biles,5,3,2,True,False
24,7,Rashad Jennings,2,4,-2,False,True
24,9,Simone Biles,4,1,3,True,False
24,9,Normani,1,4,-3,False,True
25,2,Jordan Fisher,2,4,-2,False,True
25,2,Derek Fisher,9,7,2,True,False
25,2,Lindsey Stirling,7,9,-2,False,True
25,2,Debbie Gibson,4,2,2,True,False
25,4,Frankie Muniz,3,1,2,True,False
25,4,Lindsey Stirling,7,5,2,True,False
25,4,Nick Lachey,4,6,-2,False,True
25,4,Vanessa Lachey,6,8,-2,False,True
25,5,Terrell Owens,6,3,3,True,False
25,5,Lindsey Stirling,5,7,-2,False,True
25,6,Frankie Muniz,6,2,4,True,False
25,6,Jordan Fisher,1,3,-2,False,True
25,6,Lindsey Stirling,3,5,-2,False,True
26,2,Arike Ogunbowale,7,5,2,True,False
27,1,Danelle Umstead,9,11,-2,False,True
27,1,Joe Amabile,11,9,2,True,False
27,2,Mary Lou Retton,7,9,-2,False,True
27,2,Alexis Ren,9,7,2,True,False
27,3,Joe Amabile,9,7,2,True,False
27,4,John Schneider,8,10,-2,False,True
27,4,Bobby Bones,7,9,-2,False,True
27,4,Tinashe,10,6,4,True,False
27,6,Joe Amabile,5,7,-2,False,True
27,8,Juan Pablo Di Pace,6,3,3,True,False
27,8,Alexis Ren,4,6,-2,False,True
28,2,Sailor Brinkley-Cook,8,10,-2,False,True
28,6,Kate Flannery,6,3,3,True,False
28,6,James Van Der Beek,3,1,2,True,False
28,6,Sailor Brinkley-Cook,9,7,2,True,False
28,6,Karamo Brown,1,4,-3,False,True
28,6,Hannah Brown,7,9,-2,False,True
28,7,James Van Der Beek,3,1,2,True,False
28,7,Kel Mitchell,1,3,-2,False,True
29,2,Anne Heche,12,9,3,True,False
29,2,Jesse Metcalfe,3,1,2,True,False
29,2,Nev Schulman,5,3,2,True,False
29,2,Nelly,1,5,-4,False,True
29,2,Jeannie Mai,10,12,-2,False,True
29,3,Chrishell Stause,8,5,3,True,False
29,3,Veron Davis,4,2,2,True,False
29,3,AJ McLean,1,3,-2,False,True
29,3,Nelly,3,8,-5,False,True
29,4,Jesse Metcalfe,8,10,-2,False,True
29,4,Skai Jackson,3,5,-2,False,True
29,4,Justina Machado,10,6,4,True,False
29,4,Nev Schulman,6,3,3,True,False
29,4,Nelly,2,9,-7,False,True
29,4,Kaitlyn Bristowe,4,2,2,True,False
29,5,Nev Schulman,6,1,5,True,False
29,5,AJ McLean,2,4,-2,False,True
29,5,Nelly,1,5,-4,False,True
29,5,Kaitlyn Bristowe,4,6,-2,False,True
29,5,Monica Aldama,5,2,3,True,False
29,5,Jeannie Mai,9,11,-2,False,True
29,6,Justina Machado,6,3,3,True,False
29,6,Nelly,2,5,-3,False,True
29,6,Kaitlyn Bristowe,4,6,-2,False,True
29,7,Nev Schulman,3,1,2,True,False
29,7,AJ McLean,2,5,-3,False,True
29,8,Johnny Weir,4,2,2,True,False
29,8,Nev Schulman,3,1,2,True,False
29,8,Nelly,1,6,-5,False,True
29,8,Kaitlyn Bristowe,6,4,2,True,False
29,9,Johnny Weir,4,1,3,True,False
29,9,Nelly,1,4,-3,False,True
29,10,Nelly,1,3,-2,False,True
30,2,Melanie C,4,2,2,True,False
30,3,Melora Hardin,8,4,4,True,False
30,3,Matt James,5,7,-2,False,True
30,3,Iman Shumpert,3,8,-5,False,True
30,3,Jimmie Allen,4,6,-2,False,True
30,3,Olivia Jade,6,3,3,True,False
30,3,JoJo Siwa,7,5,2,True,False
30,4,Melora Hardin,5,1,4,True,False
30,4,Iman Shumpert,1,3,-2,False,True
30,4,Jimmie Allen,2,4,-2,False,True
30,5,Melora Hardin,6,2,4,True,False
30,5,"Mike ""The Miz"" Mizanin",3,5,-2,False,True
30,5,Iman Shumpert,4,6,-2,False,True
30,5,Jimmie Allen,2,4,-2,False,True
30,5,JoJo Siwa,5,3,2,True,False
30,5,Kenya Moore,8,11,-3,False,True
30,6,"Mike ""The Miz"" Mizanin",4,6,-2,False,True
30,6,Olivia Jade,7,9,-2,False,True
30,7,Melora Hardin,5,3,2,True,False
30,7,Iman Shumpert,2,4,-2,False,True
30,7,Cody Rigsby,7,5,2,True,False
30,7,Amanda Kloots,4,7,-3,False,True
30,8,Melora Hardin,3,1,2,True,False
30,8,Cody Rigsby,6,4,2,True,False
30,8,JoJo Siwa,4,6,-2,False,True
31,1,Cheryl Ladd,14,12,2,True,False
31,1,Selma Blair,6,2,4,True,False
31,1,Daniel Durant,7,5,2,True,False
31,1,Wayne Brady,4,6,-2,False,True
31,1,Charli D'Amelio,3,7,-4,False,True
31,1,Teresa Giudice,12,14,-2,False,True
31,2,Selma Blair,10,8,2,True,False
31,2,Joseph Baena,6,9,-3,False,True
31,2,Daniel Durant,7,4,3,True,False
31,2,Wayne Brady,5,3,2,True,False
31,2,Jessie James Decker,3,6,-3,False,True
31,3,Trevor Donovan,7,9,-2,False,True
31,3,Daniel Durant,6,4,2,True,False
31,3,Wayne Brady,5,3,2,True,False
31,3,Jessie James Decker,3,6,-3,False,True
31,4,Selma Blair,8,5,3,True,False
31,4,Trevor Donovan,7,9,-2,False,True
31,4,Jordin Sparks,3,1,2,True,False
31,5,Selma Blair,6,3,3,True,False
31,5,Jordin Sparks,3,6,-3,False,True
31,6,Jordin Sparks,2,4,-2,False,True
31,8,Charli D'Amelio,4,6,-2,False,True
32,1,Barry Williams,9,11,-2,False,True
32,1,Xochitl Gomez,4,2,2,True,False
32,1,Tyson Beckford,12,10,2,True,False
32,2,Jamie Lynn Spears,13,11,2,True,False
32,2,Tyson Beckford,7,4,3,True,False
32,2,Charity Lawson,5,7,-2,False,True
32,3,Mira Sorvino,8,6,2,True,False
32,4,Mira Sorvino,6,4,2,True,False
32,5,Barry Williams,8,4,4,True,False
32,5,Ariana Madix,4,8,-4,False,True
32,7,Lele Pons,8,6,2,True,False
32,7,Harry Jowsey,6,8,-2,False,True
32,8,Xochitl Gomez,3,1,2,True,False
32,8,Jason Mraz,1,3,-2,False,True
33,2,Tori Spelling,13,11,2,True,False
33,2,Reginald VelJohnson,11,13,-2,False,True
33,2,Chandler Kinney,4,2,2,True,False
33,2,Joey Graziadei,2,4,-2,False,True
33,3,Chandler Kinney,4,2,2,True,False
33,3,Dwight Howard ,2,5,-3,False,True
33,3,Stephen Nedoroscik,6,4,2,True,False
33,4,Chandler Kinney,5,3,2,True,False
33,4,Dwight Howard ,3,6,-3,False,True
33,4,Stephen Nedoroscik,6,4,2,True,False
33,4,Brooks Nader,9,7,2,True,False
33,4,Jenn Tran,7,9,-2,False,True
33,5,Chandler Kinney,5,2,3,True,False
33,5,Dwight Howard ,1,3,-2,False,True
33,6,Stephen Nedoroscik,5,7,-2,False,True
34,2,Elaine Hendrix,10,8,2,True,False
34,2,Scott Hoying,6,9,-3,False,True
34,2,Jen Affleck,8,5,3,True,False
34,3,Robert Irwin,1,3,-2,False,True
34,4,Elaine Hendrix,8,5,3,True,False
34,4,Robert Irwin,1,3,-2,False,True
34,4,Scott Hoying,4,7,-3,False,True
34,4,Dylan Efron,7,9,-2,False,True
34,6,Robert Irwin,1,3,-2,False,True
34,8,Robert Irwin,1,3,-2,False,True
