season,week,celebrity_name,judge_score,fan_votes,log_fan_votes,age,industry_raw,partner,placement,industry_cat,judge_score_avg,I__Actor,I__Athlete,I__Other,I__Singer
1,2,Joey McIntyre,21.0,2024716.0,14.520940495669985,32.0,Singer/Rapper,Ashly DelGrosso,3,Singer,21.1,False,False,False,True
1,3,Joey McIntyre,22.0,2392446.0,14.68782724950379,32.0,Singer/Rapper,Ashly DelGrosso,3,Singer,21.1,False,False,False,True
1,4,Joey McIntyre,20.0,2937750.0,14.893154880592691,32.0,Singer/Rapper,Ashly DelGrosso,3,Singer,21.1,False,False,False,True
1,5,Joey McIntyre,22.5,1.0,0.6931471805599453,32.0,Singer/Rapper,Ashly DelGrosso,3,Singer,21.1,False,False,False,True
1,1,Trista Sutter,18.0,1.0,0.6931471805599453,32.0,TV Personality,Louis van Amstel,2,Other,18.5,False,False,True,False
1,2,Trista Sutter,19.0,453510.0,13.024774804031475,32.0,TV Personality,Louis van Amstel,2,Other,18.5,False,False,True,False
2,1,Tatum O'Neal,23.0,1294425.0,14.073577911611208,42.0,Actor/Actress,Nick Kosovich,2,Actor,20.0,True,False,False,False
2,2,Tatum O'Neal,17.0,387012.0,12.866213563178995,42.0,Actor/Actress,Nick Kosovich,2,Actor,20.0,True,False,False,False
2,1,Tia Carrere,20.0,666472.0,13.409754907652811,39.0,Actor/Actress,Maksim Chmerkoskiy,5,Actor,23.0,True,False,False,False
2,2,Tia Carrere,22.0,745081.0,13.52124955841885,39.0,Actor/Actress,Maksim Chmerkoskiy,5,Actor,23.0,True,False,False,False
2,3,Tia Carrere,26.0,881116.0,13.688945699732932,39.0,Actor/Actress,Maksim Chmerkoskiy,5,Actor,23.0,True,False,False,False
2,4,Tia Carrere,25.0,1033503.0,13.848465528439963,39.0,Actor/Actress,Maksim Chmerkoskiy,5,Actor,23.0,True,False,False,False
2,5,Tia Carrere,22.0,330124.0,12.707226649599434,39.0,Actor/Actress,Maksim Chmerkoskiy,5,Actor,23.0,True,False,False,False
2,1,George Hamilton,18.0,1199941.0,13.997783780256801,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,2,George Hamilton,22.0,1383723.0,14.14028897330723,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,3,George Hamilton,22.0,1584056.0,14.275499835557554,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,4,George Hamilton,21.0,1797173.0,14.401725989124907,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,5,George Hamilton,24.0,2073831.0,14.544908661597738,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,6,George Hamilton,23.0,748408.0,13.525704898964493,66.0,Actor/Actress,Edyta Sliwinska,6,Actor,21.666666666666668,True,False,False,False
2,1,Lisa Rinna,19.0,656297.0,13.394370233070305,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,2,Lisa Rinna,20.0,724904.0,13.493795890768286,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,3,Lisa Rinna,25.0,861446.0,13.666368812454053,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,4,Lisa Rinna,26.0,1046810.0,13.86125895779843,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,5,Lisa Rinna,25.0,1152447.0,13.957398933529177,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,6,Lisa Rinna,27.0,1406462.0,14.156588600131617,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,7,Lisa Rinna,26.5,522721.0,13.166805052967767,42.0,Actor/Actress,Louis van Amstel,7,Actor,24.071428571428573,True,False,False,False
2,1,Stacy Keibler,22.0,1275528.0,14.05887155248743,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,2,Stacy Keibler,29.0,1514878.0,14.23084612574919,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,3,Stacy Keibler,27.0,1738279.0,14.36840667654957,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,4,Stacy Keibler,26.0,1931615.0,14.473867516235684,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,5,Stacy Keibler,30.0,2235207.0,14.619844846576497,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,6,Stacy Keibler,30.0,2721073.0,14.816537213279448,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,7,Stacy Keibler,27.5,3273520.0,15.001376721994685,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,8,Stacy Keibler,28.6665,1.0,0.6931471805599453,26.0,Athlete,Tony Dovolani,3,Athlete,27.520812499999998,False,True,False,False
2,1,Jerry Rice,21.0,1256632.0,14.043946479946285,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,2,Jerry Rice,23.0,1402460.0,14.153739108505722,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,3,Jerry Rice,19.0,1491518.0,14.215305621709305,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,4,Jerry Rice,24.0,1797489.0,14.401901805279527,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,5,Jerry Rice,23.0,2048761.0,14.53274626625304,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,6,Jerry Rice,23.0,2455715.0,14.713928926383755,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,7,Jerry Rice,20.5,2951494.0,14.897822379607575,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,8,Jerry Rice,26.666600000000003,1.0,0.6931471805599453,43.0,Athlete,Anna Trebunskaya,2,Athlete,22.520825000000002,False,True,False,False
2,1,Giselle Fernandez,23.0,995711.0,13.811213338126391,44.0,News Anchor,Jonathan Roberts,3,Other,23.0,False,False,True,False
2,2,Giselle Fernandez,24.0,1093228.0,13.90464626030952,44.0,News Anchor,Jonathan Roberts,3,Other,23.0,False,False,True,False
2,3,Giselle Fernandez,22.0,355006.0,12.779892786573008,44.0,News Anchor,Jonathan Roberts,3,Other,23.0,False,False,True,False
2,1,Master P,12.0,1086561.0,13.898529141017402,35.0,Singer/Rapper,Ashly DelGrosso,4,Singer,12.5,False,False,False,True
2,2,Master P,16.0,1271304.0,14.055554489912467,35.0,Singer/Rapper,Ashly DelGrosso,4,Singer,12.5,False,False,False,True
2,3,Master P,14.0,1415277.0,14.162836536193568,35.0,Singer/Rapper,Ashly DelGrosso,4,Singer,12.5,False,False,False,True
2,4,Master P,8.0,438241.0,12.990526548195874,35.0,Singer/Rapper,Ashly DelGrosso,4,Singer,12.5,False,False,False,True
2,1,Drew Lachey,24.0,1313322.0,14.08807112455475,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,2,Drew Lachey,27.0,1477405.0,14.205798405257102,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,3,Drew Lachey,27.0,1673297.0,14.330307087239017,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,4,Drew Lachey,28.0,1955166.0,14.485986169748237,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,5,Drew Lachey,27.0,2159627.0,14.585446542606176,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,6,Drew Lachey,30.0,2668339.0,14.796967114180198,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,7,Drew Lachey,27.5,3252263.0,14.994861927166662,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,8,Drew Lachey,28.9998,1.0,0.6931471805599453,29.0,Singer/Rapper,Cheryl Burke,1,Singer,27.437475,False,False,False,True
2,1,Kenny Mayne,13.0,255105.0,12.449434424041469,46.0,Sports Broadcaster,Andrea Hale,1,Athlete,13.0,False,True,False,False
3,1,Harry Hamlin,17.0,1073924.0,13.886830719210316,54.0,Actor/Actress,Ashly DelGrosso,3,Actor,20.0,True,False,False,False
3,2,Harry Hamlin,21.0,1203405.0,14.000666427629318,54.0,Actor/Actress,Ashly DelGrosso,3,Actor,20.0,True,False,False,False
3,3,Harry Hamlin,22.0,422237.0,12.953324415083266,54.0,Actor/Actress,Ashly DelGrosso,3,Actor,20.0,True,False,False,False
3,1,Vivica A. Fox,22.0,1160573.0,13.964425268281957,42.0,Actor/Actress,Nick Kosovich,4,Actor,24.25,True,False,False,False
3,2,Vivica A. Fox,24.0,1251756.0,14.040058722347515,42.0,Actor/Actress,Nick Kosovich,4,Actor,24.25,True,False,False,False
3,3,Vivica A. Fox,27.0,1471605.0,14.201864879399334,42.0,Actor/Actress,Nick Kosovich,4,Actor,24.25,True,False,False,False
3,4,Vivica A. Fox,24.0,492772.0,13.107803900739437,42.0,Actor/Actress,Nick Kosovich,4,Actor,24.25,True,False,False,False
3,1,Monique Coleman,19.0,596929.0,13.299555132568754,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,2,Monique Coleman,26.0,691379.0,13.446444879236115,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,3,Monique Coleman,27.0,831246.0,13.630682261923132,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,4,Monique Coleman,24.0,901582.0,13.711907386161705,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,5,Monique Coleman,27.0,1065408.0,13.8788693209608,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,6,Monique Coleman,23.0,1.0,0.6931471805599453,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,7,Monique Coleman,27.0,1423771.0,14.168820245775155,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,8,Monique Coleman,26.5,510152.0,13.142465959709506,25.0,Actor/Actress,Louis van Amstel,8,Actor,24.9375,True,False,False,False
3,1,Joey Lawrence,21.0,1143243.0,13.949380393310598,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,2,Joey Lawrence,29.0,1332341.0,14.102448853882853,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,3,Joey Lawrence,22.0,1461589.0,14.195035442205342,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,4,Joey Lawrence,27.0,1658909.0,14.3216713181531,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,5,Joey Lawrence,25.0,1942734.0,14.479607332027655,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,6,Joey Lawrence,24.0,1.0,0.6931471805599453,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,7,Joey Lawrence,28.5,2679372.0,14.801093369891365,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,8,Joey Lawrence,27.0,3171180.0,14.969614631677052,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,9,Joey Lawrence,29.5,1.0,0.6931471805599453,30.0,Actor/Actress,Edyta Sliwinska,3,Actor,25.88888888888889,True,False,False,False
3,1,Mario Lopez,26.0,1229892.0,14.02243773169467,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,2,Mario Lopez,21.0,1203405.0,14.000666427629318,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,3,Mario Lopez,22.0,1285657.0,14.066781207509127,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,4,Mario Lopez,29.0,1641831.0,14.311323249509137,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,5,Mario Lopez,27.0,1959311.0,14.488103949176452,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,6,Mario Lopez,28.0,1.0,0.6931471805599453,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,7,Mario Lopez,28.0,2655936.0,14.792308069417622,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,8,Mario Lopez,28.5,3174097.0,14.970534055458256,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,9,Mario Lopez,29.5,1.0,0.6931471805599453,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,10,Mario Lopez,29.666600000000003,1.0,0.6931471805599453,32.0,Actor/Actress,Karina Smirnoff,2,Actor,26.866660000000003,True,False,False,False
3,1,Emmitt Smith,24.0,1195233.0,13.9938525400779,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,2,Emmitt Smith,24.0,1251756.0,14.040058722347515,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,3,Emmitt Smith,19.0,1299667.0,14.077619405200176,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,4,Emmitt Smith,24.0,1536603.0,14.245085344562094,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,5,Emmitt Smith,27.0,1930356.0,14.473215517868734,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,6,Emmitt Smith,25.0,1.0,0.6931471805599453,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,7,Emmitt Smith,28.5,2661687.0,14.794471065959199,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,8,Emmitt Smith,27.0,3144569.0,14.961187713808714,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,9,Emmitt Smith,29.5,1.0,0.6931471805599453,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,10,Emmitt Smith,29.666600000000003,1.0,0.6931471805599453,37.0,Athlete,Cheryl Burke,1,Athlete,25.76666,False,True,False,False
3,1,Shanna Moakler,18.0,839426.0,13.640474795197056,31.0,Model,Jesse DeSoto,2,Other,20.0,False,False,True,False
3,2,Shanna Moakler,22.0,281428.0,12.547635474500337,31.0,Model,Jesse DeSoto,2,Other,20.0,False,False,True,False
3,1,Willa Ford,22.0,1160573.0,13.964425268281957,25.0,Singer/Rapper,Maksim Chmerkoskiy,5,Singer,24.4,False,False,False,True
3,2,Willa Ford,23.0,1235639.0,14.027099612438796,25.0,Singer/Rapper,Maksim Chmerkoskiy,5,Singer,24.4,False,False,False,True
3,3,Willa Ford,22.0,1366857.0,14.12802523320734,25.0,Singer/Rapper,Maksim Chmerkoskiy,5,Singer,24.4,False,False,False,True
3,4,Willa Ford,28.0,1667368.0,14.326757492966221,25.0,Singer/Rapper,Maksim Chmerkoskiy,5,Singer,24.4,False,False,False,True
3,5,Willa Ford,27.0,596480.0,13.29880266754005,25.0,Singer/Rapper,Maksim Chmerkoskiy,5,Singer,24.4,False,False,False,True
3,1,Sara Evans,15.0,559604.0,13.234986456687086,35.0,Singer/Rapper,Tony Dovolani,10,Singer,21.0,False,False,False,True
3,2,Sara Evans,21.0,647987.0,13.381627456644424,35.0,Singer/Rapper,Tony Dovolani,10,Singer,21.0,False,False,False,True
3,3,Sara Evans,25.0,803060.0,13.596185955174453,35.0,Singer/Rapper,Tony Dovolani,10,Singer,21.0,False,False,False,True
3,4,Sara Evans,20.0,868322.0,13.674319044238748,35.0,Singer/Rapper,Tony Dovolani,10,Singer,21.0,False,False,False,True
3,5,Sara Evans,24.0,1028810.0,13.843914324476762,35.0,Singer/Rapper,Tony Dovolani,10,Singer,21.0,False,False,False,True
3,1,Jerry Springer,16.0,812765.0,13.608198524222765,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,2,Jerry Springer,19.0,900900.0,13.711150652640026,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,3,Jerry Springer,21.0,1058078.0,13.871965557799923,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,4,Jerry Springer,22.0,1232608.0,14.024643619122434,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,5,Jerry Springer,24.0,1476898.0,14.205455177320259,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,6,Jerry Springer,18.0,1.0,0.6931471805599453,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,7,Jerry Springer,23.0,579232.0,13.269460093568744,62.0,TV Personality,Kym Johnson,7,Other,20.428571428571427,False,False,True,False
3,1,Tucker Carlson,12.0,227832.0,12.33636818341917,37.0,TV Personality,Elena Grinenko,1,Other,12.0,False,False,True,False
4,1,John Ratzenberger,17.0,1.0,0.6931471805599453,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,2,John Ratzenberger,21.0,646175.0,13.37882719147855,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,3,John Ratzenberger,20.0,713242.0,13.477577454796952,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,4,John Ratzenberger,16.0,751723.0,13.530124514286587,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,5,John Ratzenberger,18.0,858707.0,13.663184213025703,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,6,John Ratzenberger,19.0,1012452.0,13.827886657132314,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,7,John Ratzenberger,22.5,357944.0,12.788134622295427,59.0,Actor/Actress,Edyta Sliwinska,7,Actor,19.071428571428573,True,False,False,False
4,1,Ian Ziering,21.0,1.0,0.6931471805599453,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,2,Ian Ziering,22.0,655030.0,13.392437841741717,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,3,Ian Ziering,24.0,731765.0,13.503216069706273,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,4,Ian Ziering,24.0,843875.0,13.645760843353097,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,5,Ian Ziering,24.0,951772.0,13.766081839962732,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,6,Ian Ziering,24.0,1087954.0,13.899810345248547,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,7,Ian Ziering,27.0,1262329.0,14.048469777599713,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,8,Ian Ziering,23.5,1400988.0,14.152688973753703,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,9,Ian Ziering,29.0,503899.0,13.13013311466869,42.0,Actor/Actress,Cheryl Burke,9,Actor,24.27777777777778,True,False,False,False
4,1,Clyde Drexler,16.0,1.0,0.6931471805599453,44.0,Athlete,Elena Grinenko,5,Athlete,15.6,False,True,False,False
4,2,Clyde Drexler,18.0,1150702.0,13.955883617916868,44.0,Athlete,Elena Grinenko,5,Athlete,15.6,False,True,False,False
4,3,Clyde Drexler,16.0,1225792.0,14.019098539461092,44.0,Athlete,Elena Grinenko,5,Athlete,15.6,False,True,False,False
4,4,Clyde Drexler,15.0,1347711.0,14.113918897776376,44.0,Athlete,Elena Grinenko,5,Athlete,15.6,False,True,False,False
4,5,Clyde Drexler,13.0,443921.0,13.003404150305908,44.0,Athlete,Elena Grinenko,5,Athlete,15.6,False,True,False,False
4,1,Laila Ali,23.0,1.0,0.6931471805599453,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,2,Laila Ali,27.0,1298714.0,14.07688587204303,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,3,Laila Ali,21.0,1343284.0,14.110628664458572,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,4,Laila Ali,21.0,1453902.0,14.189762222333028,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,5,Laila Ali,28.0,1815583.0,14.411917737011848,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,6,Laila Ali,28.0,2137440.0,14.57511987707292,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,7,Laila Ali,29.5,2427545.0,14.702391428504637,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,8,Laila Ali,26.5,2700735.0,14.80903488642054,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,9,Laila Ali,30.0,3158994.0,14.96576449700361,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,10,Laila Ali,28.333200000000005,1.0,0.6931471805599453,29.0,Athlete,Maksim Chmerkoskiy,3,Athlete,26.233320000000003,False,True,False,False
4,1,Apolo Anton Ohno,21.0,1.0,0.6931471805599453,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,2,Apolo Anton Ohno,26.0,1282268.0,14.06414172284499,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,3,Apolo Anton Ohno,23.0,1393943.0,14.147647697329255,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,4,Apolo Anton Ohno,26.0,1599460.0,14.28517725545488,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,5,Apolo Anton Ohno,30.0,1927160.0,14.471558493465333,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,6,Apolo Anton Ohno,28.0,2170969.0,14.59068463024814,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,7,Apolo Anton Ohno,27.0,2375273.0,14.680623357217506,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,8,Apolo Anton Ohno,29.0,2776207.0,14.836596525755764,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,9,Apolo Anton Ohno,29.5,3178112.0,14.971798182400724,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,10,Apolo Anton Ohno,29.3332,1.0,0.6931471805599453,24.0,Athlete,Julianne Hough,1,Athlete,26.883319999999998,False,True,False,False
4,1,Shandi Finnessey,19.0,1.0,0.6931471805599453,28.0,Beauty Pagent,Brian Fortuna,3,Other,20.0,False,False,True,False
4,2,Shandi Finnessey,20.0,910457.0,13.721703048585024,28.0,Beauty Pagent,Brian Fortuna,3,Other,20.0,False,False,True,False
4,3,Shandi Finnessey,21.0,301046.0,12.615021677720868,28.0,Beauty Pagent,Brian Fortuna,3,Other,20.0,False,False,True,False
4,1,Paulina Porizkova,19.0,1.0,0.6931471805599453,41.0,Model,Alec Mazo,2,Other,20.0,False,False,True,False
4,2,Paulina Porizkova,21.0,276932.0,12.531530878656136,41.0,Model,Alec Mazo,2,Other,20.0,False,False,True,False
4,1,Heather Mills,18.0,1.0,0.6931471805599453,39.0,Model,Jonathan Roberts,6,Other,22.166666666666668,False,False,True,False
4,2,Heather Mills,24.0,961059.0,13.775792120967028,39.0,Model,Jonathan Roberts,6,Other,22.166666666666668,False,False,True,False
4,3,Heather Mills,24.0,1097130.0,13.908209148718475,39.0,Model,Jonathan Roberts,6,Other,22.166666666666668,False,False,True,False
4,4,Heather Mills,23.0,1212396.0,14.008109949731843,39.0,Model,Jonathan Roberts,6,Other,22.166666666666668,False,False,True,False
4,5,Heather Mills,21.0,1318391.0,14.091923370157769,39.0,Model,Jonathan Roberts,6,Other,22.166666666666668,False,False,True,False
